Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 20:15:00, 25024.75, 25034.00, 24951.25, 24990.00, 281, 157, 162, 119
2026/2/17, 21:15:00, 24999.25, 25036.00, 24970.25, 24990.00, 108, 41, 48, 60
2026/2/17, 22:15:00, 24970.00, 24985.75, 24943.75, 24950.25, 37, 24, 21, 16
2026/2/17, 23:15:00, 24953.25, 24975.25, 24920.00, 24965.75, 85, 59, 45, 40
2026/2/18, 00:15:00, 24963.25, 24967.75, 24928.50, 24935.00, 100, 57, 34, 66
2026/2/18, 01:15:00, 24944.25, 24977.00, 24931.75, 24970.00, 82, 52, 37, 45
2026/2/18, 02:15:00, 24972.75, 24985.50, 24952.00, 24976.00, 25, 19, 14, 11
2026/2/18, 03:15:00, 24963.75, 25026.00, 24957.00, 25015.00, 71, 63, 29, 42
2026/2/18, 04:15:00, 25019.00, 25055.00, 25015.75, 25044.25, 52, 44, 26, 26
2026/2/18, 05:15:00, 25056.00, 25060.75, 25028.75, 25028.75, 32, 27, 18, 14
2026/2/18, 06:15:00, 25043.25, 25055.00, 25029.50, 25030.25, 43, 35, 26, 17
2026/2/18, 07:15:00, 25027.00, 25094.75, 25019.00, 25080.00, 58, 51, 17, 41
2026/2/18, 08:15:00, 25094.50, 25140.00, 25094.50, 25140.00, 140, 89, 27, 113
2026/2/18, 09:15:00, 25123.00, 25156.00, 25122.00, 25149.25, 345, 123, 256, 89
2026/2/18, 10:15:00, 25147.75, 25149.25, 25116.25, 25116.25, 64, 49, 33, 31
2026/2/18, 11:15:00, 25127.00, 25172.00, 25106.75, 25161.25, 98, 68, 35, 63
2026/2/18, 12:15:00, 25175.50, 25179.00, 25064.75, 25110.75, 148, 108, 86, 62
2026/2/18, 13:15:00, 25108.25, 25116.00, 25087.75, 25106.00, 28, 20, 15, 13
2026/2/18, 13:30:00, 25119.75, 25133.75, 25025.75, 25025.75, 156, 114, 81, 75
2026/2/18, 14:30:00, 25024.00, 25293.25, 24968.25, 25276.00, 830, 595, 339, 491
2026/2/18, 15:30:00, 25275.00, 25335.00, 25244.50, 25312.25, 352, 276, 148, 204
2026/2/18, 16:30:00, 25320.00, 25348.25, 25279.25, 25309.25, 221, 169, 104, 117
2026/2/18, 17:30:00, 25308.25, 25346.50, 25275.00, 25283.00, 101, 68, 69, 32
2026/2/18, 18:30:00, 25290.50, 25293.00, 25205.75, 25209.00, 252, 168, 138, 114
2026/2/18, 19:30:00, 25212.50, 25212.50, 25082.25, 25094.25, 526, 266, 295, 231
2026/2/18, 20:15:00, 25092.00, 25216.00, 25070.75, 25166.75, 437, 214, 215, 222
2026/2/18, 21:15:00, 25158.50, 25169.00, 25150.00, 25150.00, 56, 33, 37, 19
2026/2/18, 22:15:00, 25181.50, 25213.00, 25181.50, 25209.00, 24, 20, 4, 20
2026/2/18, 23:15:00, 25210.00, 25213.00, 25164.00, 25175.00, 77, 59, 37, 40
2026/2/19, 00:15:00, 25171.00, 25211.00, 25138.00, 25210.75, 107, 58, 27, 80
2026/2/19, 01:15:00, 25206.25, 25206.25, 25161.50, 25186.25, 72, 37, 49, 23
2026/2/19, 02:15:00, 25188.00, 25203.50, 25188.00, 25200.00, 24, 15, 9, 15
2026/2/19, 03:15:00, 25201.50, 25214.50, 25187.00, 25203.75, 17, 17, 13, 4
2026/2/19, 04:15:00, 25203.75, 25203.75, 25161.00, 25163.75, 31, 23, 27, 4
2026/2/19, 05:15:00, 25181.50, 25221.75, 25176.50, 25210.25, 36, 33, 12, 24
2026/2/19, 06:15:00, 25214.75, 25245.00, 25213.25, 25245.00, 35, 28, 16, 19
2026/2/19, 07:15:00, 25238.75, 25264.25, 25234.75, 25239.25, 43, 29, 19, 24
2026/2/19, 08:15:00, 25255.00, 25269.00, 25164.25, 25181.00, 204, 96, 101, 103
2026/2/19, 09:15:00, 25167.50, 25176.00, 25055.75, 25055.75, 159, 115, 106, 53
2026/2/19, 10:15:00, 25057.00, 25093.25, 25050.00, 25090.00, 85, 71, 47, 38
2026/2/19, 11:15:00, 25085.25, 25099.50, 25035.00, 25074.75, 76, 60, 43, 33
2026/2/19, 12:15:00, 25068.00, 25114.25, 25067.50, 25067.50, 68, 46, 42, 26
2026/2/19, 13:15:00, 25063.00, 25063.00, 25025.00, 25040.00, 29, 25, 20, 9
2026/2/19, 13:30:00, 25037.00, 25096.50, 25013.00, 25054.75, 198, 103, 132, 66
2026/2/19, 14:30:00, 25075.50, 25165.00, 24982.75, 25075.25, 935, 540, 403, 532
2026/2/19, 15:30:00, 25070.00, 25175.00, 25067.00, 25094.25, 500, 300, 249, 251
2026/2/19, 16:30:00, 25091.00, 25136.75, 25019.75, 25077.25, 271, 198, 136, 135
2026/2/19, 17:30:00, 25075.25, 25078.50, 24964.25, 25012.25, 429, 238, 292, 137
2026/2/19, 18:30:00, 25007.50, 25065.00, 24983.75, 25027.75, 176, 117, 63, 113
2026/2/19, 19:30:00, 25030.75, 25035.00, 24967.00, 25010.25, 157, 114, 77, 80
2026/2/19, 20:15:00, 25005.00, 25088.75, 24996.00, 25071.50, 213, 121, 107, 106
2026/2/19, 21:15:00, 25072.00, 25088.75, 25046.25, 25054.75, 45, 31, 17, 28
2026/2/19, 22:15:00, 25057.25, 25068.00, 25051.00, 25067.50, 30, 27, 11, 19
2026/2/19, 23:15:00, 25063.00, 25104.50, 25063.00, 25100.00, 66, 49, 18, 48
2026/2/20, 00:15:00, 25089.50, 25151.00, 25075.75, 25151.00, 90, 69, 25, 65
2026/2/20, 01:15:00, 25142.00, 25151.00, 25110.75, 25123.25, 69, 50, 29, 40
2026/2/20, 02:15:00, 25106.00, 25124.00, 25099.00, 25118.00, 47, 38, 27, 20
2026/2/20, 03:15:00, 25121.50, 25126.00, 25105.25, 25126.00, 20, 13, 8, 12
2026/2/20, 04:15:00, 25129.50, 25131.50, 25110.00, 25130.00, 34, 25, 17, 17
2026/2/20, 05:15:00, 25134.75, 25170.00, 25133.75, 25170.00, 45, 38, 5, 40
2026/2/20, 06:15:00, 25170.50, 25174.75, 25147.25, 25163.75, 55, 37, 24, 31
2026/2/20, 07:15:00, 25165.25, 25167.25, 25125.50, 25134.50, 57, 53, 30, 27
2026/2/20, 08:15:00, 25129.00, 25177.00, 25116.25, 25176.75, 49, 45, 17, 32
2026/2/20, 09:15:00, 25179.50, 25201.00, 25142.75, 25157.50, 56, 52, 26, 30
2026/2/20, 10:15:00, 25157.50, 25166.00, 25065.50, 25093.75, 57, 54, 40, 17
2026/2/20, 11:15:00, 25093.75, 25104.75, 25025.00, 25054.50, 112, 88, 74, 38
2026/2/20, 12:15:00, 25064.00, 25064.00, 25009.50, 25036.00, 132, 75, 43, 89
2026/2/20, 13:15:00, 25053.25, 25075.75, 25045.00, 25075.75, 19, 18, 4, 15
2026/2/20, 13:30:00, 25065.25, 25065.25, 24913.75, 24920.00, 551, 355, 311, 240
2026/2/20, 14:30:00, 24915.00, 25299.00, 24896.50, 25194.25, 1338, 1035, 542, 796
2026/2/20, 15:30:00, 25191.25, 25357.00, 25127.00, 25198.50, 724, 514, 311, 413
2026/2/20, 16:30:00, 25190.00, 25345.00, 25099.25, 25140.50, 609, 433, 329, 280
2026/2/20, 17:30:00, 25150.00, 25260.00, 25129.50, 25190.00, 431, 322, 200, 231
2026/2/20, 18:30:00, 25180.00, 25338.25, 25150.00, 25266.50, 338, 274, 144, 194
2026/2/20, 19:30:00, 25280.00, 25294.00, 25236.50, 25289.50, 107, 93, 62, 45
