Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 20:15:00, 25024.75, 25034.00, 25005.00, 25005.00, 10, 9, 5, 5
2026/2/17, 20:20:00, 25020.00, 25021.25, 24989.50, 24989.50, 17, 15, 12, 5
2026/2/17, 20:25:00, 24992.75, 24999.00, 24989.50, 24997.00, 10, 8, 4, 6
2026/2/17, 20:30:00, 24985.00, 24990.50, 24960.00, 24967.50, 22, 20, 17, 5
2026/2/17, 20:35:00, 24969.75, 24978.75, 24951.25, 24959.50, 31, 19, 13, 18
2026/2/17, 20:40:00, 24959.25, 25010.25, 24959.25, 25006.50, 57, 27, 33, 24
2026/2/17, 20:45:00, 25000.00, 25000.00, 24982.50, 24982.50, 10, 10, 8, 2
2026/2/17, 20:50:00, 24985.75, 24989.00, 24960.50, 24960.50, 58, 21, 24, 34
2026/2/17, 20:55:00, 24970.50, 24996.00, 24965.50, 24993.00, 23, 14, 12, 11
2026/2/17, 21:00:00, 25004.00, 25005.00, 24981.00, 25005.00, 36, 8, 33, 3
2026/2/17, 21:05:00, 25014.75, 25014.75, 24990.00, 24990.00, 6, 5, 1, 5
2026/2/17, 21:10:00, 24990.00, 24990.00, 24990.00, 24990.00, 1, 1, 0, 1
2026/2/17, 21:15:00, 24999.25, 25036.00, 24999.25, 25001.25, 44, 14, 5, 39
2026/2/17, 21:25:00, 25003.00, 25009.00, 25002.25, 25009.00, 3, 3, 2, 1
2026/2/17, 21:30:00, 25004.75, 25004.75, 24973.50, 24983.75, 46, 9, 28, 18
2026/2/17, 21:35:00, 24974.25, 24984.00, 24972.00, 24977.25, 6, 6, 5, 1
2026/2/17, 21:40:00, 24979.00, 24985.00, 24979.00, 24980.00, 3, 3, 3, 0
2026/2/17, 21:50:00, 24975.00, 24975.00, 24975.00, 24975.00, 1, 1, 1, 0
2026/2/17, 21:55:00, 24970.25, 24990.00, 24970.25, 24990.00, 5, 5, 4, 1
2026/2/17, 23:00:00, 24970.00, 24970.00, 24968.00, 24969.25, 11, 4, 3, 8
2026/2/17, 23:05:00, 24968.25, 24985.75, 24962.00, 24962.00, 11, 11, 7, 4
2026/2/17, 23:10:00, 24960.25, 24960.25, 24943.75, 24950.25, 15, 9, 11, 4
2026/2/17, 23:15:00, 24953.25, 24970.00, 24939.00, 24970.00, 18, 10, 14, 4
2026/2/17, 23:20:00, 24973.75, 24975.25, 24970.75, 24975.25, 3, 3, 2, 1
2026/2/17, 23:25:00, 24966.00, 24970.50, 24963.75, 24963.75, 12, 4, 11, 1
2026/2/17, 23:30:00, 24969.00, 24969.00, 24941.00, 24941.00, 4, 3, 2, 2
2026/2/17, 23:35:00, 24941.50, 24941.50, 24934.50, 24934.50, 5, 4, 3, 2
2026/2/17, 23:40:00, 24942.00, 24952.00, 24942.00, 24944.25, 6, 4, 0, 6
2026/2/17, 23:45:00, 24922.25, 24929.50, 24920.00, 24927.50, 7, 5, 4, 3
2026/2/17, 23:50:00, 24926.00, 24931.25, 24926.00, 24931.25, 4, 3, 0, 4
2026/2/17, 23:55:00, 24937.25, 24942.00, 24925.00, 24925.00, 5, 4, 3, 2
2026/2/18, 00:00:00, 24943.25, 24947.50, 24941.50, 24941.50, 9, 7, 4, 5
2026/2/18, 00:05:00, 24941.50, 24950.00, 24940.75, 24950.00, 6, 6, 1, 5
2026/2/18, 00:10:00, 24951.75, 24966.00, 24951.75, 24965.75, 6, 6, 1, 5
2026/2/18, 00:15:00, 24963.25, 24963.25, 24963.25, 24963.25, 1, 1, 0, 1
2026/2/18, 00:20:00, 24956.75, 24956.75, 24941.00, 24941.00, 3, 2, 0, 3
2026/2/18, 00:25:00, 24930.00, 24952.50, 24930.00, 24952.50, 20, 9, 2, 18
2026/2/18, 00:30:00, 24953.00, 24963.25, 24953.00, 24957.25, 10, 7, 6, 4
2026/2/18, 00:40:00, 24967.50, 24967.75, 24953.50, 24956.75, 14, 8, 7, 7
2026/2/18, 00:45:00, 24953.75, 24953.75, 24940.50, 24943.00, 13, 4, 2, 11
2026/2/18, 00:50:00, 24943.00, 24943.50, 24931.75, 24935.00, 14, 10, 8, 6
2026/2/18, 00:55:00, 24935.25, 24940.50, 24935.25, 24940.50, 2, 2, 1, 1
2026/2/18, 01:00:00, 24946.75, 24946.75, 24944.50, 24944.50, 15, 7, 4, 11
2026/2/18, 01:05:00, 24928.50, 24939.75, 24928.50, 24931.50, 6, 5, 3, 3
2026/2/18, 01:10:00, 24931.75, 24935.00, 24931.75, 24935.00, 2, 2, 1, 1
2026/2/18, 01:15:00, 24944.25, 24945.75, 24942.50, 24942.75, 6, 5, 0, 6
2026/2/18, 01:20:00, 24949.50, 24954.50, 24949.50, 24949.50, 5, 5, 1, 4
2026/2/18, 01:25:00, 24940.75, 24941.00, 24936.00, 24936.00, 32, 10, 20, 12
2026/2/18, 01:30:00, 24931.75, 24934.00, 24931.75, 24934.00, 4, 3, 1, 3
2026/2/18, 01:40:00, 24940.25, 24940.25, 24940.25, 24940.25, 1, 1, 0, 1
2026/2/18, 01:45:00, 24937.75, 24937.75, 24937.75, 24937.75, 2, 1, 2, 0
