Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 20:15:00, 25178.75, 25203.00, 25178.75, 25203.00, 2, 2, 1, 1
2026/2/18, 07:15:00, 25234.50, 25258.00, 25234.50, 25258.00, 2, 2, 1, 1
2026/2/18, 13:30:00, 25265.00, 25265.00, 25265.00, 25265.00, 1, 1, 1, 0
2026/2/18, 14:30:00, 25280.00, 25492.00, 25277.50, 25492.00, 68, 36, 6, 62
2026/2/18, 15:30:00, 25509.25, 25550.50, 25502.50, 25530.00, 16, 11, 4, 12
2026/2/18, 16:30:00, 25508.00, 25555.00, 25508.00, 25518.00, 5, 5, 1, 4
2026/2/18, 17:30:00, 25527.00, 25527.00, 25513.00, 25513.00, 3, 2, 3, 0
2026/2/18, 19:30:00, 25400.00, 25400.00, 25335.25, 25335.25, 36, 18, 35, 1
2026/2/18, 20:15:00, 25323.00, 25421.50, 25323.00, 25377.00, 26, 10, 20, 6
2026/2/19, 01:15:00, 25395.00, 25395.00, 25395.00, 25395.00, 1, 1, 1, 0
2026/2/19, 03:15:00, 25425.50, 25425.50, 25425.50, 25425.50, 2, 2, 1, 1
2026/2/19, 08:15:00, 25428.25, 25428.25, 25425.75, 25425.75, 3, 3, 3, 0
2026/2/19, 09:15:00, 25350.00, 25350.00, 25279.50, 25279.50, 10, 2, 10, 0
2026/2/19, 10:15:00, 25273.75, 25278.75, 25273.75, 25278.75, 5, 2, 5, 0
2026/2/19, 11:15:00, 25304.50, 25304.50, 25304.50, 25304.50, 1, 1, 1, 0
2026/2/19, 12:15:00, 25298.25, 25298.25, 25298.25, 25298.25, 1, 1, 1, 0
2026/2/19, 14:15:00, 25269.75, 25369.00, 25250.50, 25369.00, 27, 7, 26, 1
2026/2/19, 16:15:00, 25373.25, 25375.50, 25373.25, 25375.50, 2, 2, 0, 2
2026/2/19, 17:15:00, 25203.75, 25203.75, 25203.75, 25203.75, 1, 1, 1, 0
2026/2/19, 19:15:00, 25225.00, 25225.00, 25225.00, 25225.00, 1, 1, 1, 0
2026/2/19, 20:15:00, 25293.50, 25293.50, 25293.50, 25293.50, 20, 3, 0, 20
2026/2/19, 21:15:00, 25278.50, 25278.50, 25278.50, 25278.50, 1, 1, 1, 0
2026/2/20, 02:15:00, 25340.00, 25340.00, 25340.00, 25340.00, 1, 1, 1, 0
2026/2/20, 04:15:00, 25326.75, 25326.75, 25326.75, 25326.75, 1, 1, 1, 0
2026/2/20, 06:15:00, 25386.75, 25386.75, 25386.75, 25386.75, 1, 1, 1, 0
2026/2/20, 09:15:00, 25400.00, 25400.00, 25400.00, 25400.00, 9, 1, 0, 9
2026/2/20, 10:15:00, 25327.50, 25327.50, 25327.50, 25327.50, 1, 1, 1, 0
2026/2/20, 13:15:00, 25303.75, 25303.75, 25303.75, 25303.75, 1, 1, 0, 1
2026/2/20, 13:30:00, 25204.00, 25210.75, 25144.25, 25144.25, 17, 16, 13, 4
2026/2/20, 14:30:00, 25152.75, 25450.00, 25152.75, 25325.00, 60, 35, 27, 33
2026/2/20, 15:30:00, 25510.00, 25568.00, 25425.00, 25425.00, 16, 13, 9, 7
2026/2/20, 16:30:00, 25555.00, 25555.00, 25331.25, 25331.25, 12, 4, 7, 5
2026/2/20, 17:30:00, 25363.00, 25455.00, 25363.00, 25455.00, 8, 5, 2, 6
2026/2/20, 18:30:00, 25560.00, 25560.00, 25499.00, 25499.00, 3, 3, 1, 2
2026/2/20, 19:30:00, 25483.50, 25500.00, 25483.50, 25500.00, 14, 14, 2, 12
2026/2/20, 20:15:00, 25498.00, 25504.50, 25485.00, 25504.50, 29, 18, 11, 18
2026/2/22, 23:15:00, 25430.50, 25430.50, 25424.50, 25424.50, 2, 2, 2, 0
2026/2/23, 00:15:00, 25350.00, 25350.00, 25311.25, 25311.25, 8, 3, 8, 0
2026/2/23, 01:15:00, 25311.25, 25311.25, 25311.25, 25311.25, 1, 1, 1, 0
2026/2/23, 02:15:00, 25265.50, 25265.50, 25265.50, 25265.50, 1, 1, 1, 0
2026/2/23, 03:15:00, 25265.50, 25265.50, 25265.50, 25265.50, 1, 1, 1, 0
2026/2/23, 08:15:00, 25333.00, 25333.00, 25333.00, 25333.00, 2, 2, 1, 1
2026/2/23, 13:30:00, 25392.00, 25402.75, 25373.25, 25402.75, 9, 3, 2, 7
2026/2/23, 14:30:00, 25460.00, 25460.25, 25278.50, 25307.75, 26, 17, 20, 6
2026/2/23, 15:30:00, 25300.00, 25300.00, 25123.00, 25205.50, 26, 25, 18, 8
2026/2/23, 16:30:00, 25214.25, 25214.25, 25188.75, 25190.00, 5, 5, 2, 3
2026/2/23, 17:30:00, 25150.75, 25150.75, 25150.75, 25150.75, 1, 1, 1, 0
2026/2/23, 18:30:00, 25156.25, 25156.25, 25156.25, 25156.25, 1, 1, 1, 0
2026/2/23, 19:30:00, 25135.25, 25139.75, 25134.00, 25134.00, 3, 3, 3, 0
2026/2/23, 20:15:00, 25155.00, 25217.00, 25155.00, 25217.00, 5, 5, 4, 1
2026/2/23, 23:15:00, 25227.75, 25227.75, 25227.75, 25227.75, 1, 1, 0, 1
2026/2/24, 01:15:00, 25268.00, 25268.00, 25247.50, 25247.50, 3, 2, 1, 2
2026/2/24, 04:15:00, 25334.25, 25334.25, 25334.25, 25334.25, 2, 1, 0, 2
2026/2/24, 08:15:00, 25202.00, 25202.00, 25202.00, 25202.00, 1, 1, 1, 0
2026/2/24, 09:15:00, 25278.25, 25278.25, 25278.25, 25278.25, 1, 1, 1, 0
2026/2/24, 11:15:00, 25327.75, 25327.75, 25327.75, 25327.75, 2, 2, 0, 2
2026/2/24, 13:30:00, 25326.75, 25326.75, 25268.00, 25268.00, 5, 5, 3, 2
2026/2/24, 14:30:00, 25179.50, 25400.00, 25145.75, 25400.00, 36, 14, 3, 33
2026/2/24, 15:30:00, 25444.50, 25468.50, 25411.00, 25452.50, 12, 12, 7, 5
2026/2/24, 16:30:00, 25485.00, 25509.00, 25485.00, 25507.50, 13, 9, 8, 5
2026/2/24, 17:30:00, 25497.00, 25497.00, 25497.00, 25497.00, 4, 1, 4, 0
2026/2/24, 20:15:00, 25445.00, 25445.00, 25445.00, 25445.00, 1, 1, 1, 0
2026/2/25, 00:15:00, 25449.50, 25449.50, 25449.50, 25449.50, 1, 1, 1, 0
2026/2/25, 02:15:00, 25532.00, 25543.75, 25528.50, 25543.75, 4, 3, 4, 0
2026/2/25, 03:15:00, 25450.25, 25450.25, 25449.00, 25449.00, 2, 2, 2, 0
2026/2/25, 04:15:00, 25482.25, 25482.25, 25482.25, 25482.25, 1, 1, 1, 0
2026/2/25, 05:15:00, 25492.25, 25492.25, 25492.25, 25492.25, 2, 1, 0, 2
2026/2/25, 08:15:00, 25503.25, 25503.25, 25503.25, 25503.25, 1, 1, 0, 1
2026/2/25, 10:15:00, 25530.00, 25530.00, 25530.00, 25530.00, 1, 1, 0, 1
2026/2/25, 12:15:00, 25570.00, 25570.00, 25570.00, 25570.00, 1, 1, 0, 1
2026/2/25, 13:15:00, 25577.50, 25577.50, 25577.50, 25577.50, 1, 1, 1, 0
2026/2/25, 13:30:00, 25569.25, 25600.00, 25556.25, 25575.75, 24, 17, 18, 6
2026/2/25, 14:30:00, 25645.00, 25783.00, 25645.00, 25750.25, 75, 39, 32, 43
2026/2/25, 15:30:00, 25741.00, 25742.50, 25726.50, 25735.75, 4, 4, 1, 3
2026/2/25, 16:30:00, 25730.75, 25767.50, 25730.75, 25765.00, 9, 9, 7, 2
2026/2/25, 17:30:00, 25787.25, 25787.25, 25777.25, 25777.25, 2, 2, 1, 1
