Date, Time, Open, High, Low, Last, Volume, OpenInterest
2025/6/2, 00:00:00, 22560.75, 22560.75, 22560.75, 22560.75, 1189965, 208524
2025/6/3, 00:00:00, 22732.25, 22732.25, 22732.25, 22732.25, 1145331, 210920
2025/6/4, 00:00:00, 22793.25, 22793.25, 22793.25, 22793.25, 1129234, 213807
2025/6/5, 00:00:00, 22608.00, 22608.00, 22608.00, 22608.00, 1625635, 217488
2025/6/6, 00:00:00, 22818.50, 22818.50, 22818.50, 22818.50, 1227695, 215491
2025/6/9, 00:00:00, 22850.50, 22850.50, 22850.50, 22850.50, 996028, 216123
2025/6/10, 00:00:00, 22991.50, 22991.50, 22991.50, 22991.50, 1250243, 217827
2025/6/11, 00:00:00, 22916.50, 22916.50, 22916.50, 22916.50, 1542365, 219294
2025/6/12, 00:00:00, 22962.00, 22962.00, 22962.00, 22962.00, 1262388, 227496
2025/6/13, 00:00:00, 22663.75, 22663.75, 22663.75, 22663.75, 1884141, 230609
2025/6/16, 00:00:00, 22971.00, 23063.75, 22971.00, 22971.00, 1137649, 235392
2025/6/17, 00:00:00, 22759.75, 22759.75, 22759.75, 22759.75, 1565518, 231581
2025/6/18, 00:00:00, 22749.25, 22749.25, 22749.25, 22749.25, 1439687, 196350
2025/6/20, 00:00:00, 22646.75, 22646.75, 22646.75, 22646.75, 2059156, 48287
2025/6/23, 00:00:00, 22876.75, 22876.75, 22876.75, 22876.75, 1571982, 59619
2025/6/24, 00:00:00, 23150.00, 23226.75, 23150.00, 23226.75, 1145622, 66181
2025/6/25, 00:00:00, 23282.75, 23282.75, 23282.75, 23282.75, 1040519, 68536
2025/6/26, 00:00:00, 23450.00, 23497.75, 23450.00, 23497.75, 1015122, 75637
2025/6/27, 00:00:00, 23674.00, 23674.00, 23674.00, 23674.00, 1225921, 77196
2025/6/30, 00:00:00, 23817.50, 23817.50, 23817.50, 23817.50, 1138407, 81689
2025/7/1, 00:00:00, 23614.50, 23614.50, 23614.50, 23614.50, 1299887, 87750
2025/7/2, 00:00:00, 23767.75, 23767.75, 23767.75, 23767.75, 1008244, 90301
2025/7/3, 00:00:00, 24012.75, 24012.75, 24012.75, 24012.75, 662768, 98575
2025/7/7, 00:00:00, 23832.75, 23832.75, 23832.75, 23832.75, 1541528, 95040
2025/7/8, 00:00:00, 23845.75, 23845.75, 23845.75, 23845.75, 1092785, 94661
2025/7/9, 00:00:00, 24002.75, 24002.75, 24002.75, 24002.75, 1126002, 96226
2025/7/10, 00:00:00, 23950.50, 23950.50, 23950.50, 23950.50, 1045268, 98347
2025/7/11, 00:00:00, 23896.50, 23896.50, 23896.50, 23896.50, 1203668, 95623
2025/7/14, 00:00:00, 23974.25, 23974.25, 23870.00, 23974.25, 1018100, 103942
2025/7/15, 00:00:00, 23999.25, 23999.25, 23999.25, 23999.25, 1363063, 102323
2025/7/16, 00:00:00, 24018.25, 24018.25, 24018.25, 24018.25, 1387977, 102726
2025/7/17, 00:00:00, 24194.50, 24194.50, 24194.50, 24194.50, 1036727, 110938
2025/7/18, 00:00:00, 24168.00, 24168.00, 24168.00, 24168.00, 1039859, 104288
2025/7/21, 00:00:00, 24286.50, 24286.50, 24286.50, 24286.50, 952294, 107735
2025/7/22, 00:00:00, 24171.00, 24171.00, 24171.00, 24171.00, 1224739, 105626
2025/7/23, 00:00:00, 24256.00, 24256.00, 24256.00, 24256.00, 1248802, 105181
2025/7/24, 00:00:00, 24260.00, 24323.00, 24260.00, 24323.00, 1034350, 108679
2025/7/25, 00:00:00, 24369.50, 24369.50, 24369.50, 24369.50, 903227, 108051
2025/7/28, 00:00:00, 24440.50, 24440.50, 24440.50, 24440.50, 949107, 111637
2025/7/29, 00:00:00, 24401.25, 24453.25, 24401.25, 24401.25, 1135867, 118827
2025/7/30, 00:00:00, 24431.25, 24474.25, 24431.25, 24431.25, 1216566, 115881
2025/7/31, 00:00:00, 24323.50, 24623.00, 24323.50, 24323.50, 1751639, 126354
2025/8/1, 00:00:00, 23821.75, 23821.75, 23821.75, 23821.75, 1922231, 125965
2025/8/4, 00:00:00, 24231.00, 24231.00, 24231.00, 24231.00, 1220108, 130558
2025/8/5, 00:00:00, 24070.75, 24070.75, 24070.75, 24070.75, 1529044, 127775
2025/8/6, 00:00:00, 24361.75, 24361.75, 24361.75, 24361.75, 1358622, 129750
2025/8/7, 00:00:00, 24426.75, 24426.75, 24426.75, 24426.75, 1633581, 123327
2025/8/8, 00:00:00, 24657.75, 24657.75, 24657.75, 24657.75, 1110921, 123500
2025/8/11, 00:00:00, 24581.25, 24581.25, 24581.25, 24581.25, 1090727, 122800
2025/8/12, 00:00:00, 24886.25, 24886.25, 24886.25, 24886.25, 1185867, 132352
2025/8/13, 00:00:00, 24894.25, 24894.25, 24894.25, 24894.25, 1114230, 133879
2025/8/14, 00:00:00, 24880.75, 24880.75, 24880.75, 24880.75, 1190518, 140237
2025/8/15, 00:00:00, 24751.00, 24751.00, 24751.00, 24751.00, 1145067, 142526
2025/8/18, 00:00:00, 24744.75, 24744.75, 24744.75, 24744.75, 1010956, 143765
2025/8/19, 00:00:00, 24413.00, 24413.00, 24413.00, 24413.00, 1399236, 148813
2025/8/20, 00:00:00, 24267.75, 24267.75, 24164.25, 24267.75, 1760826, 143843
2025/8/21, 00:00:00, 24162.75, 24162.75, 24162.75, 24162.75, 1595460, 145189
2025/8/22, 00:00:00, 24513.00, 24513.00, 24513.00, 24513.00, 1531376, 145808
2025/8/25, 00:00:00, 24500.00, 24500.00, 24441.50, 24441.50, 1140238, 147197
2025/8/26, 00:00:00, 24534.75, 24534.75, 24534.75, 24534.75, 1264945, 139670
2025/8/27, 00:00:00, 24571.25, 24571.25, 24571.25, 24571.25, 1162585, 136957
2025/8/28, 00:00:00, 24714.50, 24714.50, 24714.50, 24714.50, 1367259, 138666
2025/8/29, 00:00:00, 24400.75, 24400.75, 24400.75, 24400.75, 1422243, 134141
2025/9/2, 00:00:00, 24211.25, 24211.25, 24211.25, 24211.25, 2090097, 138361
2025/9/3, 00:00:00, 24387.00, 24387.00, 24387.00, 24387.00, 1529833, 136291
2025/9/4, 00:00:00, 24608.75, 24608.75, 24608.75, 24608.75, 1297869, 137394
2025/9/5, 00:00:00, 24620.00, 24620.00, 24620.00, 24620.00, 1837273, 131243
2025/9/8, 00:00:00, 24737.50, 24737.50, 24737.50, 24737.50, 1262592, 131208
2025/9/9, 00:00:00, 24812.50, 24812.50, 24812.50, 24812.50, 1189040, 134277
2025/9/10, 00:00:00, 24815.25, 24815.25, 24815.25, 24815.25, 1343017, 133241
2025/9/11, 00:00:00, 24919.00, 24919.00, 24919.00, 24919.00, 1181387, 133634
2025/9/12, 00:00:00, 25019.25, 25019.25, 25019.25, 25019.25, 1067329, 138079
2025/9/15, 00:00:00, 25219.00, 25219.00, 25219.00, 25219.00, 1005226, 148224
2025/9/16, 00:00:00, 25192.75, 25192.75, 25192.75, 25192.75, 997855, 144704
2025/9/17, 00:00:00, 25132.75, 25132.75, 25132.75, 25132.75, 1580564, 142522
2025/9/18, 00:00:00, 25373.00, 25373.00, 25373.00, 25373.00, 1418184, 112639
2025/9/19, 00:00:00, 25534.25, 25534.25, 25534.25, 25534.25, 1122580, 59482
2025/9/22, 00:00:00, 25679.50, 25679.50, 25679.50, 25679.50, 1052020, 67040
2025/9/23, 00:00:00, 25502.25, 25502.25, 25502.25, 25502.25, 1259902, 64670
2025/9/24, 00:00:00, 25414.25, 25414.25, 25414.25, 25414.25, 1264841, 67704
2025/9/25, 00:00:00, 25304.50, 25304.50, 25304.50, 25304.50, 1799857, 70677
2025/9/26, 00:00:00, 25403.50, 25403.50, 25403.50, 25403.50, 1564116, 72393
2025/9/29, 00:00:00, 25515.00, 25515.00, 25515.00, 25515.00, 1278341, 71451
2025/9/30, 00:00:00, 25578.00, 25578.00, 25578.00, 25578.00, 1466466, 76012
2025/10/1, 00:00:00, 25691.25, 25691.25, 25537.25, 25691.25, 1345703, 81264
2025/10/2, 00:00:00, 25784.75, 25784.75, 25784.75, 25784.75, 1281919, 79713
2025/10/3, 00:00:00, 25666.00, 25666.00, 25655.00, 25666.00, 1391295, 81000
2025/10/6, 00:00:00, 25859.75, 25859.75, 25859.75, 25859.75, 1127881, 83883
2025/10/7, 00:00:00, 25723.75, 25723.75, 25723.75, 25723.75, 1494286, 88841
2025/10/8, 00:00:00, 26016.75, 26016.75, 26016.75, 26016.75, 1149530, 92519
2025/10/9, 00:00:00, 25974.00, 25974.00, 25974.00, 25974.00, 1401742, 91800
2025/10/10, 00:00:00, 25071.75, 25071.75, 25071.75, 25071.75, 2423706, 111629
2025/10/13, 00:00:00, 25598.75, 25598.75, 25598.75, 25598.75, 1977813, 105647
2025/10/14, 00:00:00, 25448.00, 25448.00, 25441.25, 25448.00, 2349000, 111697
2025/10/15, 00:00:00, 25580.00, 25633.00, 25477.25, 25611.00, 2127873, 112662
2025/10/16, 00:00:00, 25510.25, 25695.25, 25510.25, 25510.25, 2580221, 117636
2025/10/17, 00:00:00, 25666.00, 25666.00, 25424.25, 25666.00, 2581008, 111046
2025/10/20, 00:00:00, 25987.00, 25987.00, 25987.00, 25987.00, 1331156, 106606
2025/10/21, 00:00:00, 25976.00, 25976.00, 25976.00, 25976.00, 1382165, 105092
2025/10/22, 00:00:00, 25718.50, 25718.50, 25614.00, 25718.50, 2091475, 105542
2025/10/23, 00:00:00, 25933.50, 25933.50, 25933.50, 25933.50, 1549899, 99887
2025/10/24, 00:00:00, 26188.75, 26199.75, 26188.75, 26188.75, 1230391, 104496
2025/10/27, 00:00:00, 26500.00, 26666.00, 26500.00, 26647.50, 983644, 111619
2025/10/28, 00:00:00, 26850.50, 26850.50, 26850.50, 26850.50, 1150599, 113693
2025/10/29, 00:00:00, 26993.00, 26993.00, 26953.50, 26953.50, 1671999, 112963
2025/10/30, 00:00:00, 26575.50, 26575.50, 26575.50, 26575.50, 2115930, 112769
2025/10/31, 00:00:00, 26722.75, 26800.00, 26722.75, 26722.75, 1782766, 112913
2025/11/3, 00:00:00, 26822.00, 26822.00, 26822.00, 26822.00, 1428053, 113488
2025/11/4, 00:00:00, 26292.25, 26292.25, 26292.25, 26292.25, 2025081, 120513
2025/11/5, 00:00:00, 26000.00, 26462.00, 26000.00, 26462.00, 1771420, 112687
2025/11/6, 00:00:00, 25953.25, 25953.25, 25953.25, 25953.25, 2280191, 127821
2025/11/7, 00:00:00, 25872.50, 25872.50, 25557.25, 25872.50, 2578750, 129189
2025/11/10, 00:00:00, 26229.75, 26423.00, 26229.75, 26423.00, 1766260, 132432
2025/11/11, 00:00:00, 26350.00, 26350.00, 26283.25, 26346.75, 1588496, 138992
2025/11/12, 00:00:00, 26250.00, 26363.50, 26250.00, 26330.50, 1753401, 146249
2025/11/13, 00:00:00, 25790.00, 25797.50, 25750.00, 25797.50, 2606711, 157396
2025/11/14, 00:00:00, 25796.00, 25887.50, 25486.50, 25796.00, 2717625, 152108
2025/11/17, 00:00:00, 25650.00, 25914.50, 25450.00, 25576.75, 2609687, 154067
2025/11/18, 00:00:00, 25291.50, 25291.50, 25251.75, 25291.50, 3092874, 159579
2025/11/19, 00:00:00, 25419.75, 25568.00, 25419.75, 25419.75, 2881955, 155297
2025/11/20, 00:00:00, 24821.75, 25888.25, 24821.75, 24821.75, 3244767, 195776
2025/11/21, 00:00:00, 24990.75, 25137.50, 24778.25, 24990.75, 2960368, 182921
2025/11/24, 00:00:00, 25630.00, 25630.00, 25630.00, 25630.00, 1920280, 177568
2025/11/25, 00:00:00, 25777.00, 25777.00, 25458.75, 25777.00, 2114812, 187145
2025/11/26, 00:00:00, 25992.00, 25992.00, 25992.00, 25992.00, 1673064, 195887
2025/11/28, 00:00:00, 25992.00, 26170.75, 25992.00, 26170.75, 580998, 199382
2025/12/1, 00:00:00, 26076.50, 26076.50, 26000.00, 26076.50, 1830847, 201107
2025/12/2, 00:00:00, 26100.00, 26333.25, 26100.00, 26291.50, 1837575, 203707
2025/12/3, 00:00:00, 26200.00, 26340.50, 26150.00, 26340.50, 1580627, 217484
2025/12/4, 00:00:00, 26409.00, 26409.00, 26239.00, 26305.75, 1622373, 218696
2025/12/5, 00:00:00, 26469.00, 26469.00, 26417.00, 26446.75, 1544367, 212130
2025/12/8, 00:00:00, 26378.25, 26378.25, 26378.25, 26378.25, 1401060, 217570
2025/12/9, 00:00:00, 26414.25, 26414.25, 26414.25, 26414.25, 1209791, 217362
2025/12/10, 00:00:00, 26514.50, 26514.50, 26391.25, 26514.50, 1718468, 218933
2025/12/11, 00:00:00, 26432.50, 26432.50, 26432.50, 26432.50, 1985586, 217662
2025/12/12, 00:00:00, 26159.00, 26159.00, 25931.50, 25931.50, 2278042, 234142
2025/12/15, 00:00:00, 25804.75, 25804.75, 25804.75, 25804.75, 1812584, 242587
2025/12/16, 00:00:00, 25843.25, 25843.25, 25600.00, 25843.25, 2255401, 251741
2025/12/17, 00:00:00, 25400.00, 25400.00, 25356.50, 25356.50, 2119348, 266476
2025/12/18, 00:00:00, 25717.75, 25725.00, 25717.75, 25717.75, 2148321, 163386
2025/12/19, 00:00:00, 26038.25, 26038.25, 26038.25, 26038.25, 1367773, 81346
2025/12/22, 00:00:00, 26155.50, 26246.00, 26129.00, 26129.00, 1050193, 83511
2025/12/23, 00:00:00, 26148.00, 26256.75, 26148.00, 26251.00, 902917, 87530
2025/12/24, 00:00:00, 26275.00, 26361.00, 26275.00, 26320.25, 426222, 88415
2025/12/26, 00:00:00, 26360.00, 26360.00, 26290.00, 26305.00, 656994, 91351
2025/12/29, 00:00:00, 26306.50, 26313.25, 26091.25, 26177.00, 1111915, 95526
2025/12/30, 00:00:00, 26180.00, 26213.25, 26113.00, 26113.00, 900946, 99122
2025/12/31, 00:00:00, 26000.00, 26129.25, 25878.50, 25892.00, 1012469, 96389
2026/1/2, 00:00:00, 26068.00, 26223.25, 25733.00, 25817.00, 1685807, 95486
2026/1/5, 00:00:00, 26080.00, 26128.25, 26010.75, 26010.75, 1368140, 95095
2026/1/6, 00:00:00, 26076.00, 26284.00, 26000.00, 26258.00, 1370789, 101243
2026/1/7, 00:00:00, 26300.00, 26439.00, 26217.50, 26274.75, 1386616, 99231
2026/1/8, 00:00:00, 26289.50, 26289.50, 26057.50, 26128.00, 1643491, 97802
2026/1/9, 00:00:00, 26165.50, 26425.50, 26084.50, 26383.00, 1605817, 97665
2026/1/12, 00:00:00, 26458.50, 26458.50, 26123.00, 26403.00, 1369551, 93937
2026/1/13, 00:00:00, 26342.00, 26484.00, 26269.75, 26351.75, 1823283, 85251
2026/1/14, 00:00:00, 26324.00, 26354.75, 25887.50, 26074.75, 2147640, 85932
2026/1/15, 00:00:00, 26058.00, 26395.75, 26054.50, 26153.25, 1816672, 80019
2026/1/16, 00:00:00, 26295.75, 26340.25, 26067.25, 26136.00, 1533517, 77609
2026/1/20, 00:00:00, 25898.25, 25899.00, 25573.25, 25578.00, 3190171, 88478
2026/1/21, 00:00:00, 25569.75, 26094.25, 25511.00, 25924.75, 2706952, 82547
2026/1/22, 00:00:00, 25996.75, 26192.50, 25954.75, 26114.00, 1739342, 82026
2026/1/23, 00:00:00, 26036.00, 26304.75, 26016.75, 26193.75, 1716319, 86604
2026/1/26, 00:00:00, 25930.50, 26378.50, 25924.75, 26304.00, 1522199, 89759
2026/1/27, 00:00:00, 26429.75, 26571.25, 26390.00, 26529.00, 1276374, 90897
2026/1/28, 00:00:00, 26602.25, 26788.00, 26500.00, 26617.00, 1662113, 87840
2026/1/29, 00:00:00, 26600.00, 26741.50, 26009.50, 26458.00, 2453237, 87747
2026/1/30, 00:00:00, 26370.00, 26467.25, 26042.75, 26127.00, 2641023, 90728
2026/2/2, 00:00:00, 26022.25, 26396.25, 25648.75, 26308.00, 2010612, 96909
2026/2/3, 00:00:00, 26411.00, 26478.00, 25696.25, 25909.00, 2615765, 109610
2026/2/4, 00:00:00, 25838.50, 25957.50, 25248.25, 25449.00, 2645885, 123044
2026/2/5, 00:00:00, 25525.00, 25605.00, 24872.50, 25095.00, 2650275, 123311
2026/2/6, 00:00:00, 24901.25, 25649.75, 24697.50, 25612.00, 2145123, 112856
2026/2/9, 00:00:00, 25745.00, 25871.25, 25400.00, 25802.75, 1676228, 110934
2026/2/10, 00:00:00, 25766.00, 25888.00, 25651.75, 25665.75, 1930721, 113838
2026/2/11, 00:00:00, 25714.50, 25903.00, 25512.75, 25738.00, 2201016, 120761
2026/2/12, 00:00:00, 25750.00, 25859.25, 25173.50, 25217.00, 2467078, 137471
2026/2/13, 00:00:00, 25280.00, 25429.00, 25039.50, 25250.25, 2530750, 140223
2026/2/17, 00:00:00, 25208.75, 25349.25, 24898.50, 25213.75, 3065392, 144386
2026/2/18, 00:00:00, 25234.50, 25556.25, 25152.00, 25404.00, 1833329, 130428
2026/2/19, 00:00:00, 25395.00, 25479.25, 25200.00, 25305.25, 2100846, 140073
2026/2/20, 00:00:00, 25340.00, 25568.00, 25128.00, 25515.25, 2200023, 143179
2026/2/23, 00:00:00, 25430.50, 25460.25, 25116.50, 25206.00, 1993267, 147860
2026/2/24, 00:00:00, 25227.75, 25509.00, 25142.00, 25473.25, 1791090, 145659
