Date, Time, Open, High, Low, Last, Volume, OpenInterest
2024/7/24, 00:00:00, 20289.75, 20289.75, 20289.75, 20289.75, 1815365, 97120
2024/7/25, 00:00:00, 20078.75, 20078.75, 20078.75, 20078.75, 2475309, 94375
2024/7/26, 00:00:00, 20261.00, 20261.00, 20261.00, 20261.00, 1825935, 88716
2024/7/29, 00:00:00, 20296.00, 20296.00, 20296.00, 20296.00, 1731225, 88987
2024/7/30, 00:00:00, 20023.25, 20023.25, 20023.25, 20023.25, 1998276, 101969
2024/7/31, 00:00:00, 20592.25, 20592.25, 20592.25, 20592.25, 1862252, 82656
2024/9/3, 00:00:00, 20037.25, 20037.25, 20037.25, 20037.25, 1802100, 98843
2024/9/4, 00:00:00, 19992.00, 19992.00, 19992.00, 19992.00, 1530672, 96843
2024/9/5, 00:00:00, 19993.25, 19993.25, 19993.25, 19993.25, 1522041, 97952
2024/9/6, 00:00:00, 19480.00, 19480.00, 19480.00, 19480.00, 1838558, 98889
2024/9/9, 00:00:00, 19614.25, 19614.25, 19614.25, 19614.25, 1442324, 100830
2024/9/10, 00:00:00, 19786.75, 19786.75, 19786.75, 19786.75, 1509794, 100549
2024/9/11, 00:00:00, 20197.75, 20197.75, 20197.75, 20197.75, 1887891, 100333
2024/9/12, 00:00:00, 20383.25, 20383.25, 20383.25, 20383.25, 1589731, 100260
2024/9/13, 00:00:00, 20473.25, 20473.25, 20473.25, 20473.25, 1157454, 98344
2024/9/16, 00:00:00, 20370.00, 20370.00, 20370.00, 20370.00, 1290406, 104031
2024/9/17, 00:00:00, 20376.25, 20376.25, 20376.25, 20376.25, 1428759, 109218
2024/9/18, 00:00:00, 20284.50, 20284.50, 20284.50, 20284.50, 1578679, 111285
2024/9/19, 00:00:00, 20793.00, 20793.00, 20793.00, 20793.00, 1466857, 78419
2024/9/20, 00:00:00, 20735.25, 20735.25, 20735.25, 20735.25, 1236415, 40469
2024/9/23, 00:00:00, 20786.25, 20786.25, 20786.25, 20786.25, 1098663, 46853
2024/9/24, 00:00:00, 20872.25, 20872.25, 20872.25, 20872.25, 1148815, 50770
2024/9/25, 00:00:00, 20892.25, 20892.25, 20892.25, 20892.25, 1038836, 53555
2024/9/26, 00:00:00, 21052.25, 21127.50, 21052.25, 21052.25, 1309600, 53748
2024/9/27, 00:00:00, 20927.25, 20927.25, 20927.25, 20927.25, 1228802, 54499
2024/9/30, 00:00:00, 20967.25, 20967.25, 20967.25, 20967.25, 1315175, 52250
2024/10/1, 00:00:00, 20680.25, 20680.25, 20680.25, 20680.25, 1623219, 55426
2024/10/2, 00:00:00, 20715.25, 20715.25, 20715.25, 20715.25, 1370324, 57051
2024/10/3, 00:00:00, 20696.25, 20696.25, 20696.25, 20696.25, 1418592, 60307
2024/10/4, 00:00:00, 20946.00, 20946.00, 20946.00, 20946.00, 1466564, 62271
2024/10/7, 00:00:00, 20713.50, 20713.50, 20713.50, 20713.50, 1246242, 66236
2024/10/8, 00:00:00, 21019.75, 21019.75, 21019.75, 21019.75, 1165705, 68856
2024/10/9, 00:00:00, 21220.00, 21220.00, 21188.50, 21188.50, 1077120, 68830
2024/10/10, 00:00:00, 21154.00, 21154.00, 21154.00, 21154.00, 1112982, 70428
2024/10/11, 00:00:00, 21200.00, 21200.00, 21175.00, 21175.00, 991944, 70255
2024/10/14, 00:00:00, 21420.00, 21420.00, 21366.75, 21366.75, 874673, 73734
2024/10/15, 00:00:00, 21084.00, 21084.00, 21084.00, 21084.00, 1226845, 79125
2024/10/16, 00:00:00, 21076.00, 21076.00, 21076.00, 21076.00, 1076929, 77729
2024/10/17, 00:00:00, 21190.00, 21190.00, 21096.00, 21096.00, 1336628, 82235
2024/10/18, 00:00:00, 21300.00, 21300.00, 21212.00, 21212.00, 996097, 84451
2024/10/21, 00:00:00, 21276.25, 21290.00, 21276.25, 21276.25, 1109051, 89035
2024/10/22, 00:00:00, 21298.75, 21298.75, 21269.50, 21298.75, 1162769, 88954
2024/10/23, 00:00:00, 20976.00, 20976.00, 20976.00, 20976.00, 1391681, 97908
2024/10/24, 00:00:00, 21136.00, 21136.00, 21136.00, 21136.00, 1163678, 96231
2024/10/25, 00:00:00, 21500.00, 21500.00, 21254.75, 21254.75, 1310926, 97605
2024/10/28, 00:00:00, 21255.25, 21290.00, 21255.25, 21255.25, 1112462, 102762
2024/10/29, 00:00:00, 21400.00, 21455.00, 21400.00, 21455.00, 1188567, 103675
2024/10/30, 00:00:00, 21293.00, 21293.00, 21293.00, 21293.00, 1249707, 101861
2024/10/31, 00:00:00, 20775.00, 20775.00, 20775.00, 20775.00, 1532501, 108326
2024/11/1, 00:00:00, 20906.25, 20907.75, 20906.25, 20906.25, 1364600, 110967
2024/11/4, 00:00:00, 20838.50, 20838.50, 20838.50, 20838.50, 1170497, 104781
2024/11/5, 00:00:00, 21096.00, 21096.00, 21096.00, 21096.00, 1079050, 107764
2024/11/6, 00:00:00, 21652.25, 21652.25, 21652.25, 21652.25, 1543490, 107336
2024/11/7, 00:00:00, 21800.00, 21989.25, 21800.00, 21989.25, 1044683, 111884
2024/11/8, 00:00:00, 22020.50, 22085.75, 22020.50, 22020.50, 971623, 109309
2024/11/11, 00:00:00, 22180.00, 22180.00, 21978.75, 22007.50, 1061121, 111247
2024/11/12, 00:00:00, 21981.25, 21981.25, 21981.25, 21981.25, 1188216, 114223
2024/11/13, 00:00:00, 22177.00, 22177.00, 21951.25, 21951.25, 1301521, 119892
2024/11/14, 00:00:00, 21950.00, 21950.00, 21806.50, 21806.50, 1328043, 123671
2024/11/15, 00:00:00, 21296.25, 21296.25, 21296.25, 21296.25, 1509065, 125959
2024/11/18, 00:00:00, 21435.50, 21435.50, 21435.50, 21435.50, 1245988, 119708
2024/11/19, 00:00:00, 21566.75, 21566.75, 21566.75, 21566.75, 1273948, 122700
2024/11/20, 00:00:00, 21547.50, 21547.50, 21521.50, 21547.50, 1461062, 125694
2024/11/21, 00:00:00, 21627.00, 21627.00, 21627.00, 21627.00, 1742649, 128767
2024/11/22, 00:00:00, 21651.50, 21651.50, 21651.50, 21651.50, 1458723, 132055
2024/11/25, 00:00:00, 21655.00, 21778.75, 21655.00, 21681.75, 1314231, 136772
2024/11/26, 00:00:00, 21798.00, 21833.25, 21798.00, 21798.00, 1289469, 133750
2024/11/27, 00:00:00, 21645.00, 21832.00, 21613.00, 21613.00, 1229567, 142177
2024/11/29, 00:00:00, 21804.00, 21804.00, 21804.00, 21804.00, 871565, 139253
2024/12/2, 00:00:00, 22182.25, 22182.25, 22050.75, 22050.75, 1115089, 142051
2024/12/3, 00:00:00, 22115.25, 22115.25, 22115.25, 22115.25, 1016398, 141068
2024/12/4, 00:00:00, 22370.25, 22370.25, 22370.25, 22370.25, 985407, 145347
2024/12/5, 00:00:00, 22309.25, 22377.50, 22309.25, 22309.25, 939683, 143653
2024/12/6, 00:00:00, 22493.25, 22493.25, 22493.25, 22493.25, 1020449, 146137
2024/12/9, 00:00:00, 22321.25, 22494.50, 22321.25, 22321.25, 1127886, 144193
2024/12/10, 00:00:00, 22241.25, 22241.25, 22241.25, 22241.25, 1220584, 150262
2024/12/11, 00:00:00, 22631.00, 22631.00, 22631.00, 22631.00, 1109163, 156964
2024/12/12, 00:00:00, 22487.00, 22487.00, 22487.00, 22487.00, 1167391, 153493
2024/12/13, 00:00:00, 22647.00, 22647.00, 22647.00, 22647.00, 1369783, 151204
2024/12/16, 00:00:00, 22980.50, 22980.50, 22980.50, 22980.50, 1144560, 160300
2024/12/17, 00:00:00, 22890.25, 22890.25, 22890.25, 22890.25, 1372810, 155234
2024/12/18, 00:00:00, 22890.25, 22893.75, 22077.50, 22077.50, 1669049, 157321
2024/12/19, 00:00:00, 21949.25, 22300.00, 21949.25, 21949.25, 1832269, 149426
2024/12/20, 00:00:00, 21900.00, 22311.00, 21900.00, 22142.25, 2095305, 56222
2024/12/23, 00:00:00, 22330.25, 22353.00, 22330.25, 22330.25, 1468211, 53151
2024/12/24, 00:00:00, 22605.25, 22605.25, 22605.25, 22605.25, 652032, 56789
2024/12/26, 00:00:00, 22587.25, 22587.25, 22587.25, 22587.25, 1057501, 55743
2024/12/27, 00:00:00, 22371.00, 22371.00, 22300.75, 22371.00, 1426060, 56429
2024/12/30, 00:00:00, 22200.00, 22200.00, 22062.50, 22075.00, 1398992, 60461
2024/12/31, 00:00:00, 21888.00, 21888.00, 21888.00, 21888.00, 1369102, 56209
2025/1/2, 00:00:00, 21827.00, 21944.50, 21827.00, 21827.00, 1988957, 63136
2025/1/3, 00:00:00, 22182.50, 22182.50, 22182.50, 22182.50, 1348264, 59262
2025/1/6, 00:00:00, 22410.00, 22410.00, 22410.00, 22410.00, 1506790, 61196
2025/1/7, 00:00:00, 22025.00, 22025.00, 22025.00, 22025.00, 1829061, 66460
2025/1/8, 00:00:00, 21900.00, 22024.00, 21900.00, 22024.00, 1855036, 63536
2025/1/9, 00:00:00, 21900.00, 22024.00, 21900.00, 22024.00, 272264, 64268
2025/1/10, 00:00:00, 21900.00, 21900.00, 21678.75, 21678.75, 2157545, 64859
2025/1/13, 00:00:00, 21412.00, 21610.25, 21412.00, 21610.25, 1914584, 71829
2025/1/14, 00:00:00, 21717.00, 21777.00, 21582.00, 21582.00, 1865881, 75820
2025/1/15, 00:00:00, 21950.00, 22065.75, 21950.00, 22065.75, 1502400, 75316
2025/1/16, 00:00:00, 22007.50, 22110.00, 21914.25, 21914.25, 1648701, 78996
2025/1/17, 00:00:00, 22227.00, 22350.00, 22227.00, 22259.50, 1506231, 87301
2025/1/21, 00:00:00, 22375.25, 22392.75, 22375.25, 22375.25, 2103851, 90781
2025/1/22, 00:00:00, 22555.00, 22700.00, 22555.00, 22675.00, 1195038, 95958
2025/1/23, 00:00:00, 22712.75, 22712.75, 22712.75, 22712.75, 1178650, 96698
2025/1/24, 00:00:00, 22585.25, 22585.25, 22585.25, 22585.25, 1279703, 100680
2025/1/27, 00:00:00, 22175.00, 22175.00, 21888.00, 21926.50, 2627007, 117979
2025/1/28, 00:00:00, 21999.00, 22249.75, 21999.00, 22249.75, 1831525, 116345
2025/1/29, 00:00:00, 22193.00, 22299.25, 22190.75, 22193.00, 1819002, 115418
2025/1/30, 00:00:00, 22327.00, 22327.00, 22241.25, 22295.00, 1815299, 116371
2025/1/31, 00:00:00, 22525.00, 22568.25, 22223.00, 22261.00, 1808081, 115299
2025/2/3, 00:00:00, 22074.75, 22074.75, 21790.75, 22074.75, 2318274, 122704
2025/2/4, 00:00:00, 22343.50, 22343.50, 22064.25, 22343.50, 1421262, 122843
2025/2/5, 00:00:00, 22437.75, 22437.75, 22308.00, 22437.75, 1333971, 124589
2025/2/6, 00:00:00, 22546.50, 22546.50, 22546.50, 22546.50, 1251902, 125499
2025/2/7, 00:00:00, 22264.75, 22264.75, 22264.75, 22264.75, 1579797, 129067
2025/2/10, 00:00:00, 22522.75, 22522.75, 22522.75, 22522.75, 1013915, 130270
2025/2/11, 00:00:00, 22462.25, 22462.25, 22433.75, 22462.25, 1133905, 128569
2025/2/12, 00:00:00, 22480.00, 22480.00, 22285.25, 22480.00, 1426212, 130616
2025/2/13, 00:00:00, 22790.00, 22790.00, 22790.00, 22790.00, 1459874, 135455
2025/2/14, 00:00:00, 22875.75, 22875.75, 22875.75, 22875.75, 1140514, 137466
2025/2/18, 00:00:00, 22950.00, 23000.00, 22877.00, 22911.25, 1463597, 139550
2025/2/19, 00:00:00, 22925.00, 22930.00, 22886.50, 22930.00, 1146264, 139469
2025/2/20, 00:00:00, 22736.25, 22819.25, 22725.25, 22819.25, 1328704, 142477
2025/2/21, 00:00:00, 22467.25, 22854.75, 22350.00, 22350.50, 1650907, 151522
2025/2/24, 00:00:00, 22450.00, 22450.00, 22092.25, 22092.25, 1750480, 155292
2025/2/25, 00:00:00, 22000.00, 22000.00, 21728.00, 21818.50, 2185251, 152770
2025/2/26, 00:00:00, 21998.00, 22034.00, 21837.50, 21856.00, 1785204, 155585
2025/2/27, 00:00:00, 21300.00, 22001.25, 21264.50, 21264.50, 2539305, 163544
2025/2/28, 00:00:00, 21350.00, 21581.25, 21319.25, 21573.75, 2458933, 160092
2025/3/3, 00:00:00, 21600.00, 21613.25, 21118.00, 21118.00, 2481067, 165034
2025/3/4, 00:00:00, 21131.25, 21200.00, 20810.00, 21044.25, 2672491, 162442
