Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2025/11/19, 20:15:00, 24706.00, 24830.25, 24664.25, 24723.75, 215513, 193271, 107029, 108484
2025/11/19, 21:15:00, 24724.00, 24976.25, 24704.25, 24959.75, 107608, 98091, 53107, 54501
2025/11/19, 22:15:00, 24968.75, 25084.25, 24950.50, 25081.50, 23861, 20096, 10730, 13131
2025/11/19, 23:15:00, 25082.25, 25117.25, 25031.50, 25100.50, 48766, 44280, 24264, 24502
2025/11/20, 00:15:00, 25100.00, 25161.50, 25100.00, 25113.75, 40270, 36587, 20176, 20094
2025/11/20, 01:15:00, 25113.75, 25174.75, 25113.00, 25143.50, 31156, 28419, 15549, 15607
2025/11/20, 02:15:00, 25143.00, 25194.25, 25129.00, 25180.50, 27464, 24411, 13568, 13896
2025/11/20, 03:15:00, 25180.50, 25196.25, 25139.00, 25164.00, 28633, 25768, 14595, 14038
2025/11/20, 04:15:00, 25164.00, 25209.00, 25150.75, 25188.50, 20881, 18748, 10362, 10519
2025/11/20, 05:15:00, 25188.75, 25196.50, 25154.75, 25171.75, 19477, 17476, 10161, 9316
2025/11/20, 06:15:00, 25171.75, 25184.50, 25132.50, 25177.00, 26421, 24111, 13829, 12592
2025/11/20, 07:15:00, 25177.25, 25207.00, 25121.00, 25154.25, 34163, 31345, 17441, 16722
2025/11/20, 08:15:00, 25154.50, 25184.75, 25105.50, 25129.25, 33940, 32003, 17633, 16307
2025/11/20, 09:15:00, 25128.00, 25135.75, 25022.00, 25035.00, 41346, 38007, 21927, 19419
2025/11/20, 10:15:00, 25035.00, 25125.75, 25035.00, 25086.00, 38394, 35194, 18650, 19744
2025/11/20, 11:15:00, 25086.50, 25127.50, 25047.50, 25077.50, 43746, 40707, 21866, 21880
2025/11/20, 12:15:00, 25077.50, 25181.00, 25068.25, 25171.75, 39850, 36230, 19218, 20632
2025/11/20, 13:15:00, 25171.00, 25178.25, 25119.00, 25138.75, 15453, 14192, 8110, 7343
2025/11/20, 13:30:00, 25139.00, 25265.00, 25135.00, 25211.75, 139932, 127715, 68413, 71519
2025/11/20, 14:30:00, 25211.75, 25300.25, 25145.00, 25258.50, 457362, 416760, 227618, 229744
2025/11/20, 15:30:00, 25258.50, 25310.00, 24883.75, 24904.50, 455552, 396778, 235496, 220056
2025/11/20, 16:30:00, 24905.00, 24928.25, 24353.50, 24450.75, 598881, 525273, 306669, 292212
2025/11/20, 17:30:00, 24449.25, 24599.00, 24308.25, 24501.00, 380731, 350881, 191988, 188743
2025/11/20, 18:30:00, 24501.00, 24522.50, 24204.50, 24347.75, 265691, 245226, 134249, 131442
2025/11/20, 19:30:00, 24347.50, 24402.00, 24260.25, 24298.25, 165402, 152319, 83762, 81640
2025/11/20, 20:15:00, 24297.00, 24348.25, 24069.75, 24114.25, 228056, 210719, 116502, 111554
2025/11/20, 21:15:00, 24113.75, 24123.50, 24071.50, 24075.50, 26755, 24501, 14121, 12634
2025/11/20, 22:15:00, 24096.75, 24131.25, 24018.00, 24073.00, 24115, 20005, 12384, 11731
2025/11/20, 23:15:00, 24072.25, 24178.00, 24072.25, 24169.25, 59841, 55539, 29727, 30114
2025/11/21, 00:15:00, 24169.50, 24207.25, 24156.75, 24183.75, 44309, 41103, 22299, 22010
2025/11/21, 01:15:00, 24183.00, 24235.00, 24157.00, 24166.50, 53464, 49432, 27139, 26325
2025/11/21, 02:15:00, 24166.75, 24217.00, 24159.00, 24183.25, 42793, 40210, 21550, 21243
2025/11/21, 03:15:00, 24183.75, 24237.75, 24163.25, 24181.25, 34164, 31638, 16553, 17611
2025/11/21, 04:15:00, 24181.00, 24210.00, 24097.50, 24193.00, 45421, 41762, 23231, 22190
2025/11/21, 05:15:00, 24192.00, 24206.50, 24127.00, 24162.25, 27978, 25979, 14300, 13678
2025/11/21, 06:15:00, 24162.50, 24200.75, 24129.25, 24164.75, 25463, 23483, 12744, 12719
2025/11/21, 07:15:00, 24164.75, 24202.00, 24060.50, 24165.75, 56083, 52045, 28505, 27578
2025/11/21, 08:15:00, 24165.00, 24217.25, 24106.00, 24188.00, 47445, 43265, 23853, 23592
2025/11/21, 09:15:00, 24187.75, 24190.25, 23930.00, 23967.75, 71092, 64960, 38064, 33028
2025/11/21, 10:15:00, 23968.00, 24147.75, 23904.00, 24145.50, 72001, 65769, 34878, 37123
2025/11/21, 11:15:00, 24145.75, 24153.50, 23969.50, 24017.50, 67622, 61110, 36011, 31611
2025/11/21, 12:15:00, 24018.00, 24261.75, 23952.50, 24220.75, 135030, 121219, 65555, 69475
2025/11/21, 13:15:00, 24220.75, 24291.75, 24191.00, 24194.75, 32249, 29035, 16759, 15490
2025/11/21, 13:30:00, 24195.50, 24278.00, 24180.25, 24202.75, 94276, 86961, 47384, 46892
2025/11/21, 14:30:00, 24202.75, 24298.25, 24027.00, 24046.00, 511229, 466301, 257270, 253959
2025/11/21, 15:30:00, 24045.50, 24177.25, 23927.25, 24175.50, 391499, 361970, 193152, 198347
2025/11/21, 16:30:00, 24175.25, 24391.75, 24139.00, 24358.50, 278200, 253909, 136449, 141751
2025/11/21, 17:30:00, 24357.25, 24416.00, 24203.25, 24264.75, 223961, 203491, 113262, 110699
2025/11/21, 18:30:00, 24265.25, 24596.50, 24248.25, 24580.75, 244562, 224009, 118576, 125986
2025/11/21, 19:30:00, 24580.75, 24595.00, 24426.75, 24477.50, 139284, 128952, 70279, 69005
2025/11/21, 20:15:00, 24477.50, 24494.75, 24285.00, 24324.00, 207181, 191754, 104548, 102633
2025/11/21, 21:15:00, 24324.25, 24360.50, 24310.25, 24349.25, 19435, 17589, 9304, 10131
2025/11/23, 22:15:00, 24449.75, 24536.25, 24445.50, 24487.00, 18636, 15532, 9216, 9420
2025/11/23, 23:15:00, 24486.25, 24506.00, 24423.50, 24439.75, 34830, 31846, 17646, 17184
2025/11/24, 00:15:00, 24439.75, 24473.75, 24404.00, 24459.75, 40830, 37162, 19912, 20918
2025/11/24, 01:15:00, 24460.25, 24483.00, 24428.00, 24437.50, 31832, 29331, 16136, 15696
2025/11/24, 02:15:00, 24437.25, 24522.75, 24436.25, 24516.75, 32735, 29815, 15700, 17035
