Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2025/11/19, 20:15:00, 24706.00, 24796.75, 24706.00, 24787.00, 26272, 22717, 11775, 14497
2025/11/19, 20:20:00, 24787.00, 24806.25, 24736.50, 24761.75, 28074, 24656, 14124, 13950
2025/11/19, 20:25:00, 24762.00, 24783.50, 24743.75, 24772.25, 14975, 13409, 7401, 7574
2025/11/19, 20:30:00, 24772.00, 24784.25, 24749.50, 24772.00, 14116, 12832, 7168, 6948
2025/11/19, 20:35:00, 24771.50, 24830.25, 24767.00, 24789.75, 20957, 18878, 10140, 10817
2025/11/19, 20:40:00, 24790.25, 24794.50, 24746.00, 24769.25, 17371, 15806, 8724, 8647
2025/11/19, 20:45:00, 24769.00, 24771.25, 24702.50, 24705.25, 19546, 17457, 10449, 9097
2025/11/19, 20:50:00, 24705.25, 24749.50, 24680.00, 24733.25, 21761, 19415, 10642, 11119
2025/11/19, 20:55:00, 24733.75, 24761.25, 24707.75, 24725.00, 22056, 19833, 11091, 10965
2025/11/19, 21:00:00, 24724.50, 24736.50, 24664.25, 24707.25, 16166, 14977, 8223, 7943
2025/11/19, 21:05:00, 24708.25, 24735.25, 24699.25, 24725.25, 7531, 7093, 3769, 3762
2025/11/19, 21:10:00, 24725.00, 24760.00, 24695.25, 24723.75, 6688, 6198, 3523, 3165
2025/11/19, 21:15:00, 24724.00, 24761.25, 24704.25, 24738.00, 4040, 3685, 1940, 2100
2025/11/19, 21:20:00, 24737.75, 24908.75, 24737.75, 24834.00, 32921, 29280, 16232, 16689
2025/11/19, 21:25:00, 24833.00, 24855.00, 24800.00, 24851.25, 15826, 14696, 8045, 7781
2025/11/19, 21:30:00, 24850.75, 24961.25, 24849.00, 24946.00, 18669, 17336, 8735, 9934
2025/11/19, 21:35:00, 24946.00, 24948.25, 24898.25, 24906.25, 12367, 11338, 6489, 5878
2025/11/19, 21:40:00, 24905.50, 24971.00, 24901.50, 24969.25, 8666, 7992, 3967, 4699
2025/11/19, 21:45:00, 24969.50, 24976.25, 24947.75, 24963.25, 6543, 6009, 3300, 3243
2025/11/19, 21:50:00, 24962.50, 24970.75, 24948.00, 24950.00, 5114, 4726, 2709, 2405
2025/11/19, 21:55:00, 24950.00, 24965.00, 24946.00, 24959.75, 3462, 3029, 1690, 1772
2025/11/19, 23:00:00, 24968.75, 25026.00, 24950.50, 25021.75, 10831, 8450, 4781, 6050
2025/11/19, 23:05:00, 25020.75, 25061.25, 25011.25, 25058.75, 5297, 4724, 2262, 3035
2025/11/19, 23:10:00, 25058.75, 25084.25, 25039.25, 25081.50, 7733, 6922, 3687, 4046
2025/11/19, 23:15:00, 25082.25, 25094.50, 25059.00, 25060.50, 6323, 5817, 3402, 2921
2025/11/19, 23:20:00, 25059.50, 25067.75, 25042.00, 25043.25, 4807, 4288, 2459, 2348
2025/11/19, 23:25:00, 25043.25, 25056.25, 25031.50, 25046.50, 5042, 4621, 2535, 2507
2025/11/19, 23:30:00, 25045.75, 25069.75, 25036.25, 25063.50, 4030, 3654, 1736, 2294
2025/11/19, 23:35:00, 25063.50, 25088.50, 25056.75, 25085.50, 4003, 3494, 1910, 2093
2025/11/19, 23:40:00, 25085.75, 25093.00, 25069.75, 25082.75, 3578, 3313, 1941, 1637
2025/11/19, 23:45:00, 25083.00, 25099.75, 25080.50, 25094.25, 3654, 3366, 1671, 1983
2025/11/19, 23:50:00, 25093.50, 25103.25, 25085.00, 25092.25, 3218, 2842, 1552, 1666
2025/11/19, 23:55:00, 25091.50, 25111.25, 25088.75, 25109.25, 3856, 3462, 1768, 2088
2025/11/20, 00:00:00, 25108.25, 25117.25, 25094.25, 25099.75, 4354, 3981, 2277, 2077
2025/11/20, 00:05:00, 25100.00, 25107.00, 25093.75, 25096.00, 2580, 2352, 1290, 1290
2025/11/20, 00:10:00, 25096.25, 25106.00, 25087.25, 25100.50, 3321, 3090, 1723, 1598
2025/11/20, 00:15:00, 25100.00, 25129.75, 25100.00, 25128.00, 3861, 3477, 1737, 2124
2025/11/20, 00:20:00, 25128.00, 25141.50, 25122.75, 25133.50, 3836, 3464, 1897, 1939
2025/11/20, 00:25:00, 25132.25, 25147.25, 25131.50, 25144.75, 2749, 2502, 1238, 1511
2025/11/20, 00:30:00, 25144.25, 25151.00, 25133.50, 25141.75, 3264, 2993, 1613, 1651
2025/11/20, 00:35:00, 25141.50, 25148.25, 25136.00, 25142.00, 2304, 2190, 1153, 1151
2025/11/20, 00:40:00, 25143.00, 25160.00, 25138.00, 25159.25, 3270, 2966, 1393, 1877
2025/11/20, 00:45:00, 25159.00, 25161.50, 25137.00, 25144.50, 3928, 3514, 2151, 1777
2025/11/20, 00:50:00, 25144.50, 25145.75, 25131.50, 25136.75, 2836, 2578, 1523, 1313
2025/11/20, 00:55:00, 25137.00, 25139.50, 25118.75, 25127.25, 3526, 3195, 1905, 1621
2025/11/20, 01:00:00, 25126.75, 25131.75, 25102.50, 25126.75, 5060, 4546, 2630, 2430
2025/11/20, 01:05:00, 25127.50, 25138.75, 25120.00, 25136.75, 2895, 2617, 1356, 1539
2025/11/20, 01:10:00, 25136.25, 25138.50, 25111.75, 25113.75, 2741, 2545, 1580, 1161
2025/11/20, 01:15:00, 25113.75, 25146.75, 25113.00, 25139.75, 3478, 3178, 1484, 1994
2025/11/20, 01:20:00, 25140.00, 25141.25, 25125.75, 25141.25, 2279, 2127, 1150, 1129
2025/11/20, 01:25:00, 25140.75, 25153.00, 25136.25, 25152.00, 2345, 2138, 1047, 1298
2025/11/20, 01:30:00, 25151.00, 25156.00, 25144.50, 25150.75, 2335, 2213, 1204, 1131
2025/11/20, 01:35:00, 25151.00, 25155.50, 25144.00, 25147.50, 1542, 1438, 853, 689
2025/11/20, 01:40:00, 25148.25, 25150.00, 25130.25, 25137.75, 2463, 2191, 1365, 1098
