Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 12:15:00, 25590.00, 25590.00, 25590.00, 25590.00, 1, 1, 0, 1
2026/2/24, 14:15:00, 25450.00, 25450.00, 25450.00, 25450.00, 1, 1, 1, 0
2026/2/25, 17:15:00, 25980.00, 25980.00, 25980.00, 25980.00, 1, 1, 0, 1
2026/2/25, 20:15:00, 26095.00, 26095.00, 26095.00, 26095.00, 1, 1, 1, 0
2026/2/26, 15:15:00, 25650.00, 25650.00, 25650.00, 25650.00, 1, 1, 1, 0
2026/3/2, 06:15:00, 25312.50, 25312.50, 25312.50, 25312.50, 1, 1, 1, 0
2026/3/3, 08:15:00, 25237.50, 25237.50, 25237.50, 25237.50, 1, 1, 1, 0
2026/3/4, 15:15:00, 25750.00, 25750.00, 25750.00, 25750.00, 1, 1, 0, 1
2026/3/9, 00:15:00, 24679.50, 24679.50, 24679.50, 24679.50, 1, 1, 0, 1
2026/3/9, 12:15:00, 25000.00, 25000.00, 25000.00, 25000.00, 2, 2, 0, 2
2026/3/9, 13:30:00, 25000.00, 25000.00, 25000.00, 25000.00, 1, 1, 0, 1
2026/3/10, 07:15:00, 25673.25, 25673.25, 25673.25, 25673.25, 1, 1, 0, 1
2026/3/11, 13:15:00, 25830.75, 25830.75, 25830.75, 25830.75, 1, 1, 1, 0
2026/3/12, 15:15:00, 25300.00, 25300.00, 25300.00, 25300.00, 1, 1, 1, 0
2026/3/12, 17:15:00, 25300.00, 25300.00, 25300.00, 25300.00, 1, 1, 1, 0
2026/3/17, 12:15:00, 25400.00, 25400.00, 25400.00, 25400.00, 1, 1, 0, 1
2026/3/18, 05:15:00, 25573.00, 25573.00, 25573.00, 25573.00, 1, 1, 0, 1
2026/3/18, 11:15:00, 25513.50, 25513.50, 25513.50, 25513.50, 1, 1, 1, 0
2026/3/18, 12:15:00, 25370.00, 25370.00, 25370.00, 25370.00, 1, 1, 1, 0
