Date, Time, Open, High, Low, Last, Volume, OpenInterest
2024/9/19, 00:00:00, 20989.00, 20989.00, 20989.00, 20989.00, 750910, 293892
2024/9/20, 00:00:00, 20931.25, 20931.25, 20931.25, 20931.25, 479931, 223720
2024/9/23, 00:00:00, 20982.25, 20982.25, 20982.25, 20982.25, 395371, 225709
2024/9/24, 00:00:00, 21068.25, 21068.25, 21068.25, 21068.25, 457669, 227746
2024/9/25, 00:00:00, 21088.25, 21088.25, 21088.25, 21088.25, 405637, 232456
2024/9/26, 00:00:00, 21248.25, 21248.25, 21248.25, 21248.25, 510499, 235922
2024/9/27, 00:00:00, 21123.25, 21123.25, 21123.25, 21123.25, 436474, 235109
2024/9/30, 00:00:00, 21163.25, 21163.25, 21163.25, 21163.25, 511160, 238261
2024/10/1, 00:00:00, 20876.25, 20876.25, 20876.25, 20876.25, 663780, 234108
2024/10/2, 00:00:00, 20911.25, 20911.25, 20911.25, 20911.25, 476501, 237642
2024/10/3, 00:00:00, 20892.25, 20892.25, 20892.25, 20892.25, 527338, 240743
2024/10/4, 00:00:00, 21142.00, 21142.00, 21142.00, 21142.00, 561452, 245390
2024/10/7, 00:00:00, 20909.50, 20909.50, 20909.50, 20909.50, 451693, 240087
2024/10/8, 00:00:00, 21215.75, 21215.75, 21215.75, 21215.75, 445747, 250139
2024/10/9, 00:00:00, 21384.50, 21384.50, 21384.50, 21384.50, 422124, 253733
2024/10/10, 00:00:00, 21350.00, 21350.00, 21350.00, 21350.00, 451037, 251541
2024/10/11, 00:00:00, 21371.00, 21371.00, 21371.00, 21371.00, 385589, 252485
2024/10/14, 00:00:00, 21562.75, 21562.75, 21562.75, 21562.75, 396161, 255162
2024/10/15, 00:00:00, 21280.00, 21280.00, 21280.00, 21280.00, 523553, 241191
2024/10/16, 00:00:00, 21272.00, 21272.00, 21272.00, 21272.00, 418125, 243433
2024/10/17, 00:00:00, 21292.00, 21292.00, 21292.00, 21292.00, 536307, 249689
2024/10/18, 00:00:00, 21408.00, 21408.00, 21408.00, 21408.00, 386141, 239304
2024/10/21, 00:00:00, 21472.25, 21472.25, 21472.25, 21472.25, 456703, 240681
2024/10/22, 00:00:00, 21494.75, 21494.75, 21494.75, 21494.75, 476952, 245897
2024/10/23, 00:00:00, 21172.00, 21172.00, 21172.00, 21172.00, 619995, 247333
2024/10/24, 00:00:00, 21332.00, 21332.00, 21332.00, 21332.00, 463222, 244489
2024/10/25, 00:00:00, 21450.75, 21450.75, 21450.75, 21450.75, 587364, 249345
2024/10/28, 00:00:00, 21451.25, 21451.25, 21451.25, 21451.25, 430763, 250628
2024/10/29, 00:00:00, 21651.00, 21651.00, 21651.00, 21651.00, 498654, 257382
2024/10/30, 00:00:00, 21489.00, 21489.00, 21489.00, 21489.00, 520156, 258509
2024/10/31, 00:00:00, 20971.00, 20971.00, 20971.00, 20971.00, 688382, 257178
2024/11/1, 00:00:00, 21102.25, 21102.25, 21102.25, 21102.25, 554751, 250834
2024/11/4, 00:00:00, 21034.50, 21034.50, 21034.50, 21034.50, 521151, 254314
2024/11/5, 00:00:00, 21292.00, 21292.00, 21292.00, 21292.00, 451053, 252753
2024/11/6, 00:00:00, 21848.25, 21848.25, 21848.25, 21848.25, 634645, 263178
2024/11/7, 00:00:00, 22185.25, 22185.25, 22185.25, 22185.25, 463751, 271811
2024/11/8, 00:00:00, 22216.50, 22216.50, 22216.50, 22216.50, 402402, 273338
2024/11/11, 00:00:00, 22203.50, 22203.50, 22203.50, 22203.50, 456901, 271091
2024/11/12, 00:00:00, 22177.25, 22177.25, 22177.25, 22177.25, 512161, 277197
2024/11/13, 00:00:00, 22147.25, 22147.25, 22147.25, 22147.25, 534468, 284111
2024/11/14, 00:00:00, 22002.50, 22002.50, 22002.50, 22002.50, 565347, 294878
2024/11/15, 00:00:00, 21492.25, 21492.25, 21492.25, 21492.25, 693964, 281289
2024/11/18, 00:00:00, 21631.50, 21631.50, 21631.50, 21631.50, 526468, 273111
2024/11/19, 00:00:00, 21762.75, 21762.75, 21762.75, 21762.75, 554970, 275071
2024/11/20, 00:00:00, 21743.50, 21743.50, 21743.50, 21743.50, 621497, 282023
2024/11/21, 00:00:00, 21823.00, 21823.00, 21823.00, 21823.00, 700249, 276968
2024/11/22, 00:00:00, 21847.50, 21847.50, 21847.50, 21847.50, 542897, 277851
2024/11/25, 00:00:00, 21877.75, 21877.75, 21877.75, 21877.75, 545867, 274283
2024/11/26, 00:00:00, 21994.00, 21994.00, 21994.00, 21994.00, 506355, 275658
2024/11/27, 00:00:00, 21809.00, 21809.00, 21809.00, 21809.00, 521791, 275645
2024/11/29, 00:00:00, 22000.00, 22000.00, 22000.00, 22000.00, 341103, 279262
2024/12/2, 00:00:00, 22246.75, 22246.75, 22246.75, 22246.75, 478477, 291591
2024/12/3, 00:00:00, 22311.25, 22311.25, 22311.25, 22311.25, 446459, 293572
2024/12/4, 00:00:00, 22566.25, 22566.25, 22566.25, 22566.25, 466318, 305732
2024/12/5, 00:00:00, 22505.25, 22505.25, 22505.25, 22505.25, 424351, 301224
2024/12/6, 00:00:00, 22689.25, 22689.25, 22689.25, 22689.25, 463307, 302458
2024/12/9, 00:00:00, 22517.25, 22517.25, 22517.25, 22517.25, 524321, 294176
2024/12/10, 00:00:00, 22437.25, 22437.25, 22437.25, 22437.25, 549221, 291787
2024/12/11, 00:00:00, 22827.00, 22827.00, 22827.00, 22827.00, 557750, 300216
2024/12/12, 00:00:00, 22683.00, 22683.00, 22683.00, 22683.00, 530500, 287594
2024/12/13, 00:00:00, 22843.00, 22843.00, 22843.00, 22843.00, 757696, 293101
2024/12/16, 00:00:00, 23176.50, 23176.50, 23176.50, 23176.50, 918008, 316422
2024/12/17, 00:00:00, 23086.25, 23086.25, 23086.25, 23086.25, 845941, 324728
2024/12/18, 00:00:00, 22273.50, 22273.50, 22273.50, 22273.50, 943482, 331323
2024/12/19, 00:00:00, 22145.25, 22396.00, 22145.25, 22145.25, 868482, 336564
2024/12/20, 00:00:00, 22338.25, 22497.75, 22338.25, 22338.25, 866032, 237622
2024/12/23, 00:00:00, 22526.25, 22526.25, 22526.25, 22526.25, 509458, 239272
2024/12/24, 00:00:00, 22801.25, 22801.25, 22801.25, 22801.25, 261628, 246014
2024/12/26, 00:00:00, 22783.25, 22805.25, 22783.25, 22783.25, 408648, 243227
