Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 20:15:00, 24812.00, 24818.25, 24735.75, 24777.50, 59012, 52125, 30667, 28345
2026/2/17, 21:15:00, 24777.75, 24818.50, 24755.25, 24768.25, 9859, 8683, 5223, 4636
2026/2/17, 22:15:00, 24773.75, 24783.25, 24728.00, 24737.00, 1879, 1700, 970, 909
2026/2/17, 23:15:00, 24737.50, 24761.75, 24700.75, 24746.00, 6541, 5828, 3255, 3286
2026/2/18, 00:15:00, 24748.50, 24754.75, 24709.50, 24718.50, 6535, 5929, 3362, 3173
2026/2/18, 01:15:00, 24717.50, 24762.00, 24709.50, 24756.25, 3000, 2884, 1408, 1592
2026/2/18, 02:15:00, 24756.50, 24770.75, 24736.00, 24747.00, 2654, 2528, 1311, 1343
2026/2/18, 03:15:00, 24747.50, 24814.00, 24736.50, 24802.75, 3747, 3481, 1753, 1994
2026/2/18, 04:15:00, 24803.50, 24840.00, 24796.75, 24833.75, 3449, 3249, 1572, 1877
2026/2/18, 05:15:00, 24833.00, 24847.00, 24809.00, 24817.75, 2309, 2174, 1157, 1152
2026/2/18, 06:15:00, 24816.25, 24846.75, 24806.50, 24812.00, 3008, 2849, 1432, 1576
2026/2/18, 07:15:00, 24811.00, 24880.00, 24802.00, 24865.50, 5418, 4828, 2645, 2773
2026/2/18, 08:15:00, 24865.25, 24926.75, 24864.00, 24914.75, 9408, 8397, 4383, 5025
2026/2/18, 09:15:00, 24914.50, 24941.50, 24903.00, 24931.75, 6108, 5521, 2896, 3212
2026/2/18, 10:15:00, 24931.00, 24940.50, 24896.50, 24903.50, 4086, 3739, 2098, 1988
2026/2/18, 11:15:00, 24902.50, 24960.00, 24889.75, 24958.00, 8722, 8051, 4078, 4644
2026/2/18, 12:15:00, 24957.75, 24962.50, 24844.00, 24889.50, 11182, 10263, 6036, 5146
2026/2/18, 13:15:00, 24889.25, 24901.25, 24867.00, 24895.25, 2478, 2303, 1212, 1266
2026/2/18, 13:30:00, 24896.00, 24921.75, 24808.50, 24809.00, 17674, 16276, 9346, 8328
2026/2/18, 14:30:00, 24809.50, 25074.00, 24752.00, 25058.00, 141745, 128712, 68814, 72931
2026/2/18, 15:30:00, 25057.25, 25115.75, 25021.50, 25093.50, 51960, 48209, 25870, 26090
2026/2/18, 16:30:00, 25094.00, 25128.25, 25057.50, 25090.00, 45391, 41859, 22593, 22798
2026/2/18, 17:30:00, 25089.50, 25127.25, 25051.00, 25063.00, 32731, 30361, 16514, 16217
2026/2/18, 18:30:00, 25063.25, 25076.75, 24981.75, 24991.75, 46460, 43725, 23773, 22687
2026/2/18, 19:30:00, 24992.50, 25000.25, 24862.00, 24877.00, 49188, 45863, 25470, 23718
2026/2/18, 20:15:00, 24876.75, 24998.00, 24856.00, 24944.25, 62251, 56902, 31543, 30708
2026/2/18, 21:15:00, 24943.75, 24950.75, 24926.50, 24936.50, 4185, 3731, 2039, 2146
2026/2/18, 22:15:00, 24943.50, 24995.00, 24942.25, 24991.25, 2157, 1931, 1050, 1107
2026/2/18, 23:15:00, 24991.75, 24993.75, 24943.50, 24953.25, 4462, 4231, 2225, 2237
2026/2/19, 00:15:00, 24954.25, 24994.50, 24916.25, 24992.00, 5365, 5004, 2667, 2698
2026/2/19, 01:15:00, 24989.50, 24994.25, 24937.75, 24972.00, 4278, 3982, 2209, 2069
2026/2/19, 02:15:00, 24974.00, 24990.00, 24969.50, 24984.25, 2134, 2039, 1027, 1107
2026/2/19, 03:15:00, 24985.00, 24999.50, 24966.00, 24988.75, 2521, 2395, 1177, 1344
2026/2/19, 04:15:00, 24987.50, 24994.25, 24940.75, 24956.50, 2276, 2154, 1266, 1010
2026/2/19, 05:15:00, 24956.50, 25005.50, 24954.75, 24995.25, 2804, 2583, 1262, 1542
2026/2/19, 06:15:00, 24994.50, 25029.00, 24989.50, 25026.00, 3414, 3180, 1562, 1852
2026/2/19, 07:15:00, 25024.75, 25047.25, 25011.75, 25032.00, 4289, 3945, 2046, 2243
2026/2/19, 08:15:00, 25030.50, 25054.00, 24941.50, 24968.00, 7818, 7064, 3937, 3881
2026/2/19, 09:15:00, 24966.50, 24972.25, 24836.00, 24838.50, 11523, 10642, 5957, 5566
2026/2/19, 10:15:00, 24838.00, 24878.00, 24825.00, 24870.50, 7625, 7187, 3717, 3908
2026/2/19, 11:15:00, 24871.25, 24885.75, 24815.00, 24860.25, 7189, 6659, 3811, 3378
2026/2/19, 12:15:00, 24860.25, 24897.00, 24843.50, 24850.00, 7037, 6608, 3513, 3524
2026/2/19, 13:15:00, 24850.75, 24855.25, 24810.50, 24831.75, 2996, 2792, 1478, 1518
