Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 20:15:00, 24812.00, 24818.25, 24787.75, 24788.75, 4722, 4154, 2517, 2205
2026/2/17, 20:20:00, 24788.50, 24804.50, 24769.25, 24774.75, 5594, 4792, 2984, 2610
2026/2/17, 20:25:00, 24775.25, 24789.00, 24765.75, 24773.50, 3530, 3092, 1698, 1832
2026/2/17, 20:30:00, 24773.00, 24775.00, 24742.50, 24756.25, 3867, 3691, 2055, 1812
2026/2/17, 20:35:00, 24756.75, 24767.50, 24735.75, 24742.75, 5001, 3696, 2489, 2512
2026/2/17, 20:40:00, 24743.25, 24795.75, 24741.00, 24782.25, 5515, 4597, 2908, 2607
2026/2/17, 20:45:00, 24782.25, 24786.00, 24757.75, 24763.75, 4248, 3817, 2141, 2107
2026/2/17, 20:50:00, 24763.75, 24786.75, 24741.25, 24756.25, 6209, 5687, 3227, 2982
2026/2/17, 20:55:00, 24756.25, 24782.25, 24739.50, 24776.50, 12730, 11439, 6577, 6153
2026/2/17, 21:00:00, 24776.75, 24789.25, 24765.50, 24780.25, 4501, 4239, 2263, 2238
2026/2/17, 21:05:00, 24780.00, 24795.25, 24767.50, 24772.75, 2290, 2165, 1339, 951
2026/2/17, 21:10:00, 24772.75, 24781.25, 24770.00, 24777.50, 805, 756, 469, 336
2026/2/17, 21:15:00, 24777.75, 24818.50, 24777.75, 24794.75, 3295, 2936, 1720, 1575
2026/2/17, 21:20:00, 24794.00, 24803.75, 24786.50, 24788.50, 1260, 1079, 710, 550
2026/2/17, 21:25:00, 24787.75, 24796.50, 24785.00, 24789.00, 1084, 950, 562, 522
2026/2/17, 21:30:00, 24787.00, 24788.75, 24760.00, 24762.50, 1323, 1074, 758, 565
2026/2/17, 21:35:00, 24761.75, 24770.75, 24755.25, 24766.25, 908, 799, 425, 483
2026/2/17, 21:40:00, 24767.00, 24771.75, 24758.25, 24766.75, 712, 652, 411, 301
