Date, Time, Open, High, Low, Last, Volume, OpenInterest
2024/12/19, 00:00:00, 22341.00, 22341.00, 22341.00, 22341.00, 868482, 336564
2024/12/20, 00:00:00, 22534.00, 22534.00, 22534.00, 22534.00, 866032, 237622
2024/12/23, 00:00:00, 22722.00, 22722.00, 22722.00, 22722.00, 509458, 239272
2024/12/24, 00:00:00, 22997.00, 22997.00, 22997.00, 22997.00, 261628, 246014
2024/12/26, 00:00:00, 22979.00, 22979.00, 22979.00, 22979.00, 408648, 243227
2024/12/27, 00:00:00, 22762.75, 22762.75, 22762.75, 22762.75, 573826, 243781
2024/12/30, 00:00:00, 22466.75, 22466.75, 22466.75, 22466.75, 533090, 250183
2024/12/31, 00:00:00, 22279.75, 22279.75, 22279.75, 22279.75, 478582, 252471
2025/1/2, 00:00:00, 22218.75, 22218.75, 22218.75, 22218.75, 666289, 254592
2025/1/3, 00:00:00, 22574.25, 22574.25, 22574.25, 22574.25, 489360, 251859
2025/1/6, 00:00:00, 22841.75, 22841.75, 22841.75, 22841.75, 575393, 244604
2025/1/7, 00:00:00, 22456.75, 22456.75, 22456.75, 22456.75, 646657, 241165
2025/1/8, 00:00:00, 22455.75, 22455.75, 22455.75, 22455.75, 639260, 240951
2025/1/9, 00:00:00, 22455.75, 22455.75, 22455.75, 22455.75, 77325, 241275
2025/1/10, 00:00:00, 22110.50, 22110.50, 22110.50, 22110.50, 705405, 243223
2025/1/13, 00:00:00, 22042.00, 22042.00, 22042.00, 22042.00, 619618, 252868
2025/1/14, 00:00:00, 22013.75, 22013.75, 22013.75, 22013.75, 677797, 253879
2025/1/15, 00:00:00, 22497.50, 22497.50, 22497.50, 22497.50, 552935, 254737
2025/1/16, 00:00:00, 22346.00, 22346.00, 22346.00, 22346.00, 599680, 253918
2025/1/17, 00:00:00, 22691.25, 22691.25, 22691.25, 22691.25, 594886, 258411
2025/1/21, 00:00:00, 22807.00, 22807.00, 22807.00, 22807.00, 663600, 254361
2025/1/22, 00:00:00, 23106.75, 23106.75, 23106.75, 23106.75, 509302, 253370
2025/1/23, 00:00:00, 23144.00, 23144.00, 23144.00, 23144.00, 476576, 254113
2025/1/24, 00:00:00, 23016.50, 23016.50, 23016.50, 23016.50, 523430, 255402
2025/1/27, 00:00:00, 22357.75, 22357.75, 22357.75, 22357.75, 1058625, 269586
2025/1/28, 00:00:00, 22681.00, 22681.00, 22681.00, 22681.00, 664719, 267882
2025/1/29, 00:00:00, 22624.25, 22624.25, 22624.25, 22624.25, 630792, 259523
2025/1/30, 00:00:00, 22726.25, 22726.25, 22726.25, 22726.25, 619023, 259682
2025/1/31, 00:00:00, 22692.25, 22692.25, 22692.25, 22692.25, 657082, 257322
2025/2/3, 00:00:00, 22506.00, 22506.00, 22506.00, 22506.00, 730538, 260957
2025/2/4, 00:00:00, 22774.50, 22774.50, 22774.50, 22774.50, 498304, 259061
2025/2/5, 00:00:00, 22868.75, 22868.75, 22868.75, 22868.75, 498679, 260459
2025/2/6, 00:00:00, 22977.50, 22977.50, 22977.50, 22977.50, 439507, 260875
2025/2/7, 00:00:00, 22695.75, 22695.75, 22695.75, 22695.75, 600170, 258655
2025/2/10, 00:00:00, 22953.75, 22953.75, 22953.75, 22953.75, 392281, 264502
2025/2/11, 00:00:00, 22893.25, 22893.25, 22893.25, 22893.25, 423703, 263509
2025/2/12, 00:00:00, 22911.50, 22911.50, 22911.50, 22911.50, 547061, 268182
2025/2/13, 00:00:00, 23221.50, 23221.50, 23221.50, 23221.50, 537945, 279354
2025/2/14, 00:00:00, 23307.25, 23307.25, 23307.25, 23307.25, 433988, 286098
2025/2/18, 00:00:00, 23342.75, 23342.75, 23342.75, 23342.75, 568222, 289760
2025/2/19, 00:00:00, 23361.50, 23361.50, 23361.50, 23361.50, 497009, 297760
2025/2/20, 00:00:00, 23250.75, 23250.75, 23250.75, 23250.75, 564604, 296276
2025/2/21, 00:00:00, 22782.00, 22782.00, 22782.00, 22782.00, 710533, 284281
2025/2/24, 00:00:00, 22523.75, 22523.75, 22523.75, 22523.75, 673314, 286734
2025/2/25, 00:00:00, 22250.00, 22250.00, 22250.00, 22250.00, 809330, 286114
2025/2/26, 00:00:00, 22287.50, 22287.50, 22287.50, 22287.50, 648777, 284902
2025/2/27, 00:00:00, 21696.00, 21696.00, 21696.00, 21696.00, 858271, 287002
2025/2/28, 00:00:00, 22005.25, 22005.25, 22005.25, 22005.25, 849741, 290705
2025/3/3, 00:00:00, 21549.50, 21549.50, 21549.50, 21549.50, 838506, 287629
2025/3/4, 00:00:00, 21475.75, 21475.75, 21475.75, 21475.75, 966911, 288147
2025/3/5, 00:00:00, 21744.25, 21744.25, 21744.25, 21744.25, 788776, 281550
2025/3/6, 00:00:00, 21156.50, 21156.50, 21156.50, 21156.50, 771592, 283349
2025/3/7, 00:00:00, 21296.50, 21296.50, 21296.50, 21296.50, 774995, 283737
2025/3/10, 00:00:00, 20500.75, 20500.75, 20500.75, 20500.75, 813707, 303104
2025/3/11, 00:00:00, 20449.00, 20449.00, 20449.00, 20449.00, 882424, 303084
2025/3/12, 00:00:00, 20610.25, 20610.25, 20610.25, 20610.25, 724645, 298761
2025/3/13, 00:00:00, 20238.25, 20238.25, 20238.25, 20238.25, 799059, 291464
2025/3/14, 00:00:00, 20708.25, 20708.25, 20708.25, 20708.25, 849711, 292642
2025/3/17, 00:00:00, 20869.25, 20869.25, 20869.25, 20869.25, 1094020, 296806
2025/3/18, 00:00:00, 20528.25, 20528.25, 20528.25, 20528.25, 930036, 301517
2025/3/19, 00:00:00, 20778.00, 20853.00, 20778.00, 20778.00, 785353, 292653
2025/3/20, 00:00:00, 20708.50, 20795.00, 20708.50, 20708.50, 723609, 287969
2025/3/21, 00:00:00, 20788.50, 20788.50, 20673.00, 20788.50, 605795, 225720
2025/3/24, 00:00:00, 21205.00, 21205.00, 21205.00, 21205.00, 555563, 226585
2025/3/25, 00:00:00, 21319.25, 21319.25, 21319.25, 21319.25, 471609, 224189
2025/3/26, 00:00:00, 20946.75, 20946.75, 20946.75, 20946.75, 621604, 227486
2025/3/27, 00:00:00, 20818.75, 20818.75, 20818.75, 20818.75, 635617, 233593
2025/3/28, 00:00:00, 20272.75, 20272.75, 20272.75, 20272.75, 698142, 240148
2025/3/31, 00:00:00, 20259.25, 20259.25, 20259.25, 20259.25, 843821, 245407
2025/4/1, 00:00:00, 20372.75, 20372.75, 20372.75, 20372.75, 792233, 247658
2025/4/2, 00:00:00, 20538.00, 20538.00, 20538.00, 20538.00, 837686, 246414
2025/4/3, 00:00:00, 19442.00, 19442.00, 19442.00, 19442.00, 895831, 263636
2025/4/4, 00:00:00, 18290.00, 18290.00, 18290.00, 18290.00, 1203009, 268585
2025/4/7, 00:00:00, 18316.00, 18316.00, 17584.50, 18316.00, 1143591, 261690
2025/4/8, 00:00:00, 17976.00, 17976.00, 17901.00, 17976.00, 959276, 254563
2025/4/9, 00:00:00, 20058.75, 20058.75, 17676.25, 20058.75, 1090825, 244017
2025/4/10, 00:00:00, 19236.25, 19236.25, 18904.75, 19236.25, 977049, 235271
2025/4/11, 00:00:00, 19500.00, 19564.25, 18933.50, 19564.25, 669057, 234076
2025/4/14, 00:00:00, 19635.75, 19838.75, 19635.75, 19695.50, 571036, 235508
2025/4/15, 00:00:00, 19718.50, 19730.00, 19664.50, 19718.50, 526183, 235406
2025/4/16, 00:00:00, 19140.00, 19140.00, 18975.25, 19140.00, 684026, 241557
2025/4/17, 00:00:00, 19137.50, 19162.75, 19109.00, 19137.50, 629840, 237820
2025/4/21, 00:00:00, 18671.00, 18671.00, 18538.50, 18671.00, 485431, 242476
2025/4/22, 00:00:00, 19135.25, 19135.25, 19135.25, 19135.25, 619876, 242084
2025/4/23, 00:00:00, 19558.75, 19558.75, 19558.75, 19558.75, 734786, 239260
2025/4/24, 00:00:00, 20083.00, 20083.00, 19514.00, 20083.00, 600091, 240870
2025/4/25, 00:00:00, 20296.00, 20296.00, 20066.75, 20296.00, 588335, 244473
2025/4/28, 00:00:00, 20289.00, 20289.00, 20113.00, 20289.00, 515090, 246243
2025/4/29, 00:00:00, 20403.00, 20403.00, 20227.50, 20403.00, 566039, 246874
2025/4/30, 00:00:00, 20413.25, 20454.25, 20005.00, 20413.25, 714646, 251919
2025/5/1, 00:00:00, 20637.25, 20698.00, 20637.25, 20637.25, 589751, 251705
2025/5/2, 00:00:00, 20969.00, 20969.00, 20590.25, 20969.00, 518760, 257914
2025/5/5, 00:00:00, 20829.25, 20829.25, 20829.25, 20829.25, 419419, 257701
2025/5/6, 00:00:00, 20647.25, 20647.25, 20612.00, 20647.25, 515392, 258249
2025/5/7, 00:00:00, 20732.75, 20732.75, 20626.00, 20732.75, 598171, 259114
2025/5/8, 00:00:00, 20924.00, 20924.00, 20924.00, 20924.00, 568655, 262779
2025/5/9, 00:00:00, 20913.00, 20913.00, 20913.00, 20913.00, 454076, 261558
2025/5/12, 00:00:00, 21739.50, 21739.50, 21739.50, 21739.50, 639896, 276586
2025/5/13, 00:00:00, 22074.25, 22074.25, 22074.25, 22074.25, 527626, 283667
2025/5/14, 00:00:00, 22206.50, 22206.50, 22206.50, 22206.50, 514492, 292809
2025/5/15, 00:00:00, 22219.25, 22219.25, 22196.00, 22219.25, 543831, 288341
2025/5/16, 00:00:00, 22330.25, 22330.25, 22330.25, 22330.25, 420847, 285896
2025/5/19, 00:00:00, 22353.75, 22353.75, 22103.50, 22353.75, 521392, 283723
2025/5/20, 00:00:00, 22275.50, 22275.50, 22275.50, 22275.50, 438452, 279368
2025/5/21, 00:00:00, 21981.50, 21981.50, 21981.50, 21981.50, 607056, 281349
2025/5/22, 00:00:00, 22003.50, 22003.50, 22003.50, 22003.50, 513605, 279741
2025/5/23, 00:00:00, 21795.50, 21795.50, 21733.50, 21795.50, 529692, 271735
2025/5/27, 00:00:00, 22285.75, 22285.75, 22285.75, 22285.75, 532576, 275143
2025/5/28, 00:00:00, 22205.75, 22205.75, 22205.75, 22205.75, 422753, 270386
2025/5/29, 00:00:00, 22235.25, 22492.25, 22235.25, 22235.25, 566169, 269756
2025/5/30, 00:00:00, 22203.25, 22203.25, 22203.25, 22203.25, 552998, 268914
2025/6/2, 00:00:00, 22360.75, 22360.75, 22360.75, 22360.75, 436493, 274595
2025/6/3, 00:00:00, 22532.25, 22532.25, 22532.25, 22532.25, 429405, 277034
2025/6/4, 00:00:00, 22593.25, 22593.25, 22593.25, 22593.25, 405253, 275689
2025/6/5, 00:00:00, 22408.00, 22408.00, 22408.00, 22408.00, 595361, 273583
2025/6/6, 00:00:00, 22618.50, 22618.50, 22618.50, 22618.50, 469818, 275499
2025/6/9, 00:00:00, 22650.50, 22650.50, 22650.50, 22650.50, 357820, 273358
2025/6/10, 00:00:00, 22791.50, 22791.50, 22791.50, 22791.50, 444686, 276888
2025/6/11, 00:00:00, 22716.50, 22716.50, 22716.50, 22716.50, 534244, 277748
2025/6/12, 00:00:00, 22762.00, 22762.00, 22762.00, 22762.00, 422394, 289470
2025/6/13, 00:00:00, 22463.75, 22463.75, 22463.75, 22463.75, 675860, 288121
2025/6/16, 00:00:00, 22771.00, 22835.50, 22771.00, 22771.00, 756513, 309655
2025/6/17, 00:00:00, 22559.75, 22559.75, 22559.75, 22559.75, 649544, 311779
2025/6/18, 00:00:00, 22640.00, 22640.00, 22549.25, 22549.25, 598660, 310725
2025/6/20, 00:00:00, 22446.75, 22446.75, 22396.50, 22446.75, 650276, 234148
2025/6/23, 00:00:00, 22676.75, 22676.75, 22395.25, 22676.75, 550371, 240805
2025/6/24, 00:00:00, 23026.75, 23026.75, 23026.75, 23026.75, 448678, 253330
2025/6/25, 00:00:00, 23082.75, 23082.75, 23082.75, 23082.75, 397959, 253031
2025/6/26, 00:00:00, 23297.75, 23297.75, 23297.75, 23297.75, 422812, 260095
2025/6/27, 00:00:00, 23385.00, 23385.00, 23385.00, 23385.00, 488449, 261274
2025/6/30, 00:00:00, 23528.50, 23528.50, 23528.50, 23528.50, 434952, 269290
2025/7/1, 00:00:00, 23325.50, 23325.50, 23325.50, 23325.50, 495772, 265393
2025/7/2, 00:00:00, 23478.75, 23478.75, 23478.75, 23478.75, 409290, 265259
2025/7/3, 00:00:00, 23723.75, 23723.75, 23723.75, 23723.75, 269698, 271474
2025/7/7, 00:00:00, 23543.75, 23543.75, 23543.75, 23543.75, 538641, 269672
2025/7/8, 00:00:00, 23556.75, 23556.75, 23556.75, 23556.75, 421132, 270422
2025/7/9, 00:00:00, 23713.75, 23713.75, 23713.75, 23713.75, 450903, 269764
2025/7/10, 00:00:00, 23713.00, 23713.00, 23713.00, 23713.00, 392049, 267862
2025/7/11, 00:00:00, 23659.00, 23659.00, 23659.00, 23659.00, 461738, 270612
2025/7/14, 00:00:00, 23736.75, 23736.75, 23645.00, 23736.75, 414873, 276603
2025/7/15, 00:00:00, 23761.75, 23764.50, 23761.75, 23761.75, 525104, 271661
2025/7/16, 00:00:00, 23780.75, 23780.75, 23780.75, 23780.75, 549230, 268534
2025/7/17, 00:00:00, 23957.00, 23957.00, 23957.00, 23957.00, 446103, 286688
2025/7/18, 00:00:00, 23930.50, 23930.50, 23930.50, 23930.50, 451427, 274931
2025/7/21, 00:00:00, 24049.00, 24049.00, 24049.00, 24049.00, 399265, 278054
2025/7/22, 00:00:00, 23933.50, 23933.50, 23933.50, 23933.50, 538310, 270972
2025/7/23, 00:00:00, 24018.50, 24018.50, 24018.50, 24018.50, 513726, 271853
2025/7/24, 00:00:00, 24086.25, 24086.25, 24086.25, 24086.25, 435905, 274686
2025/7/25, 00:00:00, 24132.75, 24132.75, 24132.75, 24132.75, 395838, 276172
2025/7/28, 00:00:00, 24203.75, 24203.75, 24203.75, 24203.75, 424662, 281396
2025/7/29, 00:00:00, 24164.50, 24252.75, 24164.50, 24164.50, 538731, 281762
2025/7/30, 00:00:00, 24194.50, 24246.25, 24194.50, 24194.50, 539676, 284469
2025/7/31, 00:00:00, 24086.75, 24406.50, 24086.75, 24086.75, 741046, 281277
2025/8/1, 00:00:00, 23585.00, 23585.00, 23585.00, 23585.00, 805777, 274125
2025/8/4, 00:00:00, 23994.25, 23994.25, 23994.25, 23994.25, 473453, 278978
2025/8/5, 00:00:00, 23834.00, 23834.00, 23834.00, 23834.00, 543488, 277507
2025/8/6, 00:00:00, 24125.00, 24125.00, 24125.00, 24125.00, 528398, 286409
2025/8/7, 00:00:00, 24190.00, 24190.00, 24190.00, 24190.00, 562983, 283788
2025/8/8, 00:00:00, 24421.00, 24421.00, 24421.00, 24421.00, 454964, 292500
2025/8/11, 00:00:00, 24344.50, 24344.50, 24344.50, 24344.50, 444559, 291919
2025/8/12, 00:00:00, 24649.50, 24649.50, 24649.50, 24649.50, 489756, 303576
2025/8/13, 00:00:00, 24657.50, 24657.50, 24657.50, 24657.50, 454736, 299408
2025/8/14, 00:00:00, 24644.00, 24644.00, 24644.00, 24644.00, 493218, 301957
2025/8/15, 00:00:00, 24490.00, 24514.25, 24490.00, 24514.25, 442870, 294187
2025/8/18, 00:00:00, 24508.00, 24508.00, 24508.00, 24508.00, 400033, 295888
2025/8/19, 00:00:00, 24176.25, 24176.25, 24176.25, 24176.25, 558253, 289577
2025/8/20, 00:00:00, 24031.00, 24031.00, 23853.00, 24031.00, 715524, 283497
2025/8/21, 00:00:00, 23926.00, 23926.00, 23926.00, 23926.00, 527989, 283607
2025/8/22, 00:00:00, 24276.25, 24276.25, 23886.00, 24276.25, 492558, 282920
2025/8/25, 00:00:00, 24204.75, 24204.75, 24204.75, 24204.75, 400195, 284630
2025/8/26, 00:00:00, 24298.00, 24298.00, 24190.25, 24298.00, 445121, 284355
2025/8/27, 00:00:00, 24334.50, 24334.50, 24264.75, 24334.50, 437332, 282869
2025/8/28, 00:00:00, 24477.75, 24477.75, 24311.50, 24477.75, 487463, 291229
2025/8/29, 00:00:00, 24164.00, 24164.00, 24164.00, 24164.00, 540693, 283648
2025/9/2, 00:00:00, 23974.50, 23974.50, 23886.00, 23974.50, 747520, 282221
2025/9/3, 00:00:00, 24150.25, 24150.25, 24150.25, 24150.25, 565867, 283253
2025/9/4, 00:00:00, 24372.00, 24372.00, 24372.00, 24372.00, 487593, 289104
2025/9/5, 00:00:00, 24383.25, 24383.25, 24383.25, 24383.25, 679063, 291712
2025/9/8, 00:00:00, 24500.75, 24500.75, 24500.75, 24500.75, 461954, 292409
2025/9/9, 00:00:00, 24575.75, 24575.75, 24575.75, 24575.75, 479005, 296970
2025/9/10, 00:00:00, 24578.50, 24578.50, 24578.50, 24578.50, 530953, 294045
2025/9/11, 00:00:00, 24702.00, 24702.00, 24702.00, 24702.00, 463486, 301191
2025/9/12, 00:00:00, 24802.25, 24802.25, 24802.25, 24802.25, 491658, 315208
2025/9/15, 00:00:00, 25002.00, 25002.00, 25002.00, 25002.00, 726381, 343734
2025/9/16, 00:00:00, 24975.75, 24975.75, 24975.75, 24975.75, 642857, 351421
2025/9/17, 00:00:00, 24915.75, 24915.75, 24915.75, 24915.75, 781811, 343827
2025/9/18, 00:00:00, 25156.00, 25156.00, 25156.00, 25156.00, 664511, 340391
2025/9/19, 00:00:00, 25258.75, 25319.50, 25258.75, 25317.25, 505939, 278226
2025/9/22, 00:00:00, 25462.50, 25462.50, 25217.00, 25462.50, 481393, 277692
2025/9/23, 00:00:00, 25285.25, 25285.25, 25256.00, 25285.25, 564579, 274695
2025/9/24, 00:00:00, 25197.25, 25327.50, 25102.00, 25197.25, 530853, 274312
2025/9/25, 00:00:00, 25087.50, 25232.25, 24904.50, 25087.50, 710863, 276236
2025/9/26, 00:00:00, 25186.50, 25199.50, 25015.00, 25186.50, 549258, 271468
2025/9/29, 00:00:00, 25298.00, 25427.50, 25298.00, 25298.00, 508811, 273122
2025/9/30, 00:00:00, 25361.00, 25363.00, 25221.75, 25361.00, 513704, 278188
2025/10/1, 00:00:00, 25474.25, 25485.25, 25133.75, 25474.25, 475056, 283342
2025/10/2, 00:00:00, 25567.75, 25632.50, 25567.75, 25567.75, 460731, 282871
2025/10/3, 00:00:00, 25449.00, 25449.00, 25444.00, 25449.00, 491230, 279370
2025/10/6, 00:00:00, 25642.75, 25704.75, 25642.75, 25642.75, 415275, 286784
2025/10/7, 00:00:00, 25506.75, 25734.75, 25475.00, 25506.75, 539852, 285401
2025/10/8, 00:00:00, 25530.25, 25817.25, 25500.00, 25799.75, 451748, 289992
