Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 20:15:00, 25018.50, 25024.50, 24958.75, 25001.50, 339, 198, 188, 151
2026/2/17, 21:15:00, 25012.50, 25012.50, 24977.50, 24984.25, 10, 10, 2, 8
2026/2/17, 22:15:00, 24960.00, 24960.00, 24946.50, 24951.25, 3, 3, 2, 1
2026/2/17, 23:15:00, 24948.00, 24957.00, 24940.75, 24953.75, 7, 6, 5, 2
2026/2/18, 00:15:00, 24950.00, 24960.50, 24930.00, 24930.00, 9, 9, 5, 4
2026/2/18, 02:15:00, 24977.75, 24977.75, 24965.25, 24965.25, 4, 4, 3, 1
2026/2/18, 03:15:00, 24959.50, 25019.00, 24959.50, 25019.00, 8, 6, 4, 4
2026/2/18, 04:15:00, 25023.75, 25052.00, 25023.75, 25050.25, 13, 10, 5, 8
2026/2/18, 05:15:00, 25043.25, 25043.25, 25036.75, 25036.75, 3, 2, 3, 0
2026/2/18, 06:15:00, 25055.25, 25055.25, 25028.00, 25028.00, 2, 2, 1, 1
2026/2/18, 07:15:00, 25048.25, 25083.25, 25048.25, 25083.25, 3, 2, 3, 0
2026/2/18, 08:15:00, 25094.00, 25145.00, 25094.00, 25137.75, 30, 26, 14, 16
2026/2/18, 09:15:00, 25126.00, 25152.75, 25126.00, 25133.00, 5, 5, 1, 4
2026/2/18, 10:15:00, 25151.50, 25151.50, 25127.50, 25134.75, 7, 6, 6, 1
2026/2/18, 11:15:00, 25127.00, 25172.00, 25106.50, 25169.50, 19, 16, 10, 9
2026/2/18, 12:15:00, 25162.00, 25162.00, 25081.00, 25109.00, 12, 11, 9, 3
2026/2/18, 13:15:00, 25087.50, 25104.50, 25087.50, 25104.50, 2, 2, 2, 0
2026/2/18, 13:30:00, 25118.00, 25129.25, 25032.50, 25032.50, 26, 20, 17, 9
2026/2/18, 14:30:00, 25011.25, 25294.00, 24976.50, 25280.00, 357, 319, 172, 185
2026/2/18, 15:30:00, 25274.75, 25332.75, 25242.75, 25311.00, 187, 71, 124, 63
2026/2/18, 16:30:00, 25311.00, 25335.75, 25280.00, 25329.00, 59, 43, 18, 41
2026/2/18, 17:30:00, 25292.75, 25327.75, 25272.75, 25272.75, 12, 11, 6, 6
2026/2/18, 18:30:00, 25269.50, 25269.50, 25205.25, 25209.00, 50, 47, 27, 23
2026/2/18, 19:30:00, 25204.75, 25204.75, 25079.25, 25094.25, 98, 75, 56, 42
2026/2/18, 20:15:00, 25079.00, 25214.75, 25079.00, 25162.00, 70, 69, 36, 34
2026/2/18, 21:15:00, 25149.25, 25153.00, 25149.25, 25153.00, 3, 2, 0, 3
2026/2/18, 22:15:00, 25159.50, 25200.00, 25159.50, 25200.00, 2, 2, 2, 0
2026/2/18, 23:15:00, 25189.00, 25200.00, 25189.00, 25200.00, 9, 5, 1, 8
