Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 20:15:00, 25018.50, 25024.50, 25006.75, 25008.00, 127, 70, 34, 93
2026/2/17, 20:20:00, 25004.25, 25006.75, 24988.75, 24990.25, 30, 21, 16, 14
2026/2/17, 20:25:00, 25005.75, 25005.75, 24983.75, 24993.75, 67, 34, 54, 13
2026/2/17, 20:30:00, 24980.25, 24980.25, 24968.50, 24968.50, 22, 11, 22, 0
2026/2/17, 20:35:00, 24971.75, 24979.00, 24958.75, 24958.75, 41, 22, 37, 4
2026/2/17, 20:40:00, 24968.75, 24995.25, 24962.50, 24995.25, 6, 6, 1, 5
2026/2/17, 20:45:00, 24982.25, 24989.25, 24979.25, 24989.25, 8, 7, 3, 5
2026/2/17, 20:50:00, 24986.25, 24986.25, 24962.00, 24962.00, 8, 8, 5, 3
2026/2/17, 20:55:00, 24980.50, 24989.75, 24977.50, 24989.75, 5, 5, 4, 1
2026/2/17, 21:00:00, 24997.25, 24997.25, 24983.25, 24983.25, 15, 9, 12, 3
2026/2/17, 21:05:00, 25001.50, 25001.50, 25001.50, 25001.50, 10, 5, 0, 10
2026/2/17, 21:20:00, 25012.50, 25012.50, 25011.50, 25011.50, 2, 2, 1, 1
2026/2/17, 21:30:00, 25001.00, 25001.00, 24996.25, 24996.25, 2, 2, 0, 2
2026/2/17, 21:35:00, 24978.50, 24978.50, 24978.50, 24978.50, 1, 1, 0, 1
2026/2/17, 21:40:00, 24982.75, 24982.75, 24982.75, 24982.75, 1, 1, 1, 0
2026/2/17, 21:55:00, 24977.50, 24984.25, 24977.50, 24984.25, 4, 4, 0, 4
2026/2/17, 23:10:00, 24960.00, 24960.00, 24946.50, 24951.25, 3, 3, 2, 1
2026/2/17, 23:15:00, 24948.00, 24948.00, 24948.00, 24948.00, 1, 1, 1, 0
2026/2/17, 23:25:00, 24957.00, 24957.00, 24954.00, 24954.00, 4, 3, 4, 0
2026/2/18, 00:05:00, 24940.75, 24940.75, 24940.75, 24940.75, 1, 1, 0, 1
2026/2/18, 00:10:00, 24953.75, 24953.75, 24953.75, 24953.75, 1, 1, 0, 1
2026/2/18, 00:15:00, 24950.00, 24950.00, 24950.00, 24950.00, 1, 1, 1, 0
2026/2/18, 00:25:00, 24935.00, 24953.75, 24935.00, 24953.75, 4, 4, 1, 3
2026/2/18, 00:30:00, 24950.00, 24960.50, 24950.00, 24958.00, 3, 3, 2, 1
2026/2/18, 01:05:00, 24930.00, 24930.00, 24930.00, 24930.00, 1, 1, 1, 0
2026/2/18, 02:30:00, 24977.75, 24977.75, 24977.75, 24977.75, 1, 1, 0, 1
2026/2/18, 02:50:00, 24977.00, 24977.00, 24977.00, 24977.00, 1, 1, 1, 0
2026/2/18, 03:10:00, 24967.50, 24967.50, 24965.25, 24965.25, 2, 2, 2, 0
2026/2/18, 03:15:00, 24959.50, 24959.75, 24959.50, 24959.75, 2, 2, 2, 0
2026/2/18, 03:35:00, 24978.25, 24978.25, 24978.25, 24978.25, 2, 1, 2, 0
2026/2/18, 03:45:00, 24987.00, 24987.00, 24987.00, 24987.00, 1, 1, 0, 1
2026/2/18, 03:50:00, 25004.00, 25004.00, 25004.00, 25004.00, 2, 1, 0, 2
2026/2/18, 04:05:00, 25019.00, 25019.00, 25019.00, 25019.00, 1, 1, 0, 1
2026/2/18, 04:20:00, 25023.75, 25025.75, 25023.75, 25024.25, 8, 5, 5, 3
2026/2/18, 04:30:00, 25038.25, 25038.25, 25038.25, 25038.25, 1, 1, 0, 1
2026/2/18, 04:40:00, 25049.50, 25052.00, 25049.50, 25052.00, 2, 2, 0, 2
2026/2/18, 04:55:00, 25049.50, 25049.50, 25049.50, 25049.50, 1, 1, 0, 1
2026/2/18, 05:10:00, 25050.25, 25050.25, 25050.25, 25050.25, 1, 1, 0, 1
2026/2/18, 05:50:00, 25043.25, 25043.25, 25043.25, 25043.25, 1, 1, 1, 0
2026/2/18, 05:55:00, 25036.75, 25036.75, 25036.75, 25036.75, 2, 1, 2, 0
2026/2/18, 06:55:00, 25055.25, 25055.25, 25055.25, 25055.25, 1, 1, 0, 1
2026/2/18, 07:05:00, 25028.00, 25028.00, 25028.00, 25028.00, 1, 1, 1, 0
2026/2/18, 07:55:00, 25048.25, 25048.25, 25048.25, 25048.25, 2, 1, 2, 0
2026/2/18, 08:05:00, 25083.25, 25083.25, 25083.25, 25083.25, 1, 1, 1, 0
2026/2/18, 08:15:00, 25094.00, 25117.25, 25094.00, 25117.25, 9, 9, 4, 5
2026/2/18, 08:20:00, 25108.00, 25122.00, 25108.00, 25122.00, 3, 3, 2, 1
2026/2/18, 08:25:00, 25130.00, 25130.00, 25110.00, 25110.00, 4, 3, 1, 3
2026/2/18, 09:10:00, 25138.00, 25145.00, 25133.00, 25137.75, 14, 11, 7, 7
2026/2/18, 09:15:00, 25126.00, 25126.00, 25126.00, 25126.00, 1, 1, 0, 1
2026/2/18, 09:30:00, 25146.75, 25146.75, 25146.75, 25146.75, 1, 1, 1, 0
2026/2/18, 09:35:00, 25149.50, 25152.75, 25149.50, 25152.75, 2, 2, 0, 2
2026/2/18, 10:00:00, 25133.00, 25133.00, 25133.00, 25133.00, 1, 1, 0, 1
2026/2/18, 10:25:00, 25151.50, 25151.50, 25151.50, 25151.50, 1, 1, 1, 0
2026/2/18, 10:45:00, 25145.00, 25145.50, 25145.00, 25145.50, 2, 2, 1, 1
2026/2/18, 10:55:00, 25131.00, 25131.00, 25127.50, 25127.50, 3, 2, 3, 0
2026/2/18, 11:00:00, 25134.75, 25134.75, 25134.75, 25134.75, 1, 1, 1, 0
2026/2/18, 11:15:00, 25127.00, 25127.00, 25122.75, 25122.75, 2, 2, 1, 1
2026/2/18, 11:30:00, 25116.00, 25116.00, 25106.50, 25106.50, 4, 3, 4, 0
2026/2/18, 11:35:00, 25109.25, 25109.75, 25109.25, 25109.75, 2, 2, 1, 1
