Date, Time, Open, High, Low, Last, Volume, OpenInterest
2025/3/20, 00:00:00, 20880.50, 20880.50, 20880.50, 20880.50, 723609, 287969
2025/3/21, 00:00:00, 20960.50, 20960.50, 20960.50, 20960.50, 605795, 225720
2025/3/24, 00:00:00, 21377.00, 21377.00, 21377.00, 21377.00, 555563, 226585
2025/3/25, 00:00:00, 21491.25, 21491.25, 21491.25, 21491.25, 471609, 224189
2025/3/26, 00:00:00, 21118.75, 21118.75, 21118.75, 21118.75, 621604, 227486
2025/3/27, 00:00:00, 20990.75, 20990.75, 20990.75, 20990.75, 635617, 233593
2025/3/28, 00:00:00, 20444.75, 20444.75, 20444.75, 20444.75, 698142, 240148
2025/3/31, 00:00:00, 20431.25, 20431.25, 20431.25, 20431.25, 843821, 245407
2025/4/1, 00:00:00, 20544.75, 20544.75, 20544.75, 20544.75, 792233, 247658
2025/4/2, 00:00:00, 20738.00, 20738.00, 20738.00, 20738.00, 837686, 246414
2025/4/3, 00:00:00, 19642.00, 19642.00, 19642.00, 19642.00, 895831, 263636
2025/4/4, 00:00:00, 18490.00, 18490.00, 18490.00, 18490.00, 1203009, 268585
2025/4/7, 00:00:00, 18516.00, 18516.00, 18516.00, 18516.00, 1143591, 261690
2025/4/8, 00:00:00, 18176.00, 18176.00, 18176.00, 18176.00, 959276, 254563
2025/4/9, 00:00:00, 20258.75, 20258.75, 20258.75, 20258.75, 1090825, 244017
2025/4/10, 00:00:00, 19436.25, 19436.25, 19436.25, 19436.25, 977049, 235271
2025/4/11, 00:00:00, 19764.25, 19764.25, 19764.25, 19764.25, 669057, 234076
2025/4/14, 00:00:00, 19895.50, 19895.50, 19895.50, 19895.50, 571036, 235508
2025/4/15, 00:00:00, 19918.50, 19918.50, 19918.50, 19918.50, 526183, 235406
2025/4/16, 00:00:00, 19340.00, 19340.00, 19340.00, 19340.00, 684026, 241557
2025/4/17, 00:00:00, 19337.50, 19337.50, 19337.50, 19337.50, 629840, 237820
2025/4/21, 00:00:00, 18871.00, 18871.00, 18871.00, 18871.00, 485431, 242476
2025/4/22, 00:00:00, 19335.25, 19335.25, 19335.25, 19335.25, 619876, 242084
2025/4/23, 00:00:00, 19758.75, 19758.75, 19758.75, 19758.75, 734786, 239260
2025/4/24, 00:00:00, 20283.00, 20283.00, 20283.00, 20283.00, 600091, 240870
2025/4/25, 00:00:00, 20496.00, 20496.00, 20496.00, 20496.00, 588335, 244473
2025/4/28, 00:00:00, 20489.00, 20489.00, 20489.00, 20489.00, 515090, 246243
2025/4/29, 00:00:00, 20603.00, 20603.00, 20603.00, 20603.00, 566039, 246874
2025/4/30, 00:00:00, 20613.25, 20613.25, 20613.25, 20613.25, 714646, 251919
2025/5/1, 00:00:00, 20837.25, 20837.25, 20837.25, 20837.25, 589751, 251705
2025/5/2, 00:00:00, 21169.00, 21169.00, 21169.00, 21169.00, 518760, 257914
2025/5/5, 00:00:00, 21029.25, 21029.25, 21029.25, 21029.25, 419419, 257701
2025/5/6, 00:00:00, 20847.25, 20847.25, 20847.25, 20847.25, 515392, 258249
2025/5/7, 00:00:00, 20932.75, 20932.75, 20932.75, 20932.75, 598171, 259114
2025/5/8, 00:00:00, 21124.00, 21124.00, 21124.00, 21124.00, 568655, 262779
2025/5/9, 00:00:00, 21113.00, 21113.00, 21113.00, 21113.00, 454076, 261558
2025/5/12, 00:00:00, 21939.50, 21939.50, 21939.50, 21939.50, 639896, 276586
2025/5/13, 00:00:00, 22274.25, 22274.25, 22274.25, 22274.25, 527626, 283667
2025/5/14, 00:00:00, 22406.50, 22406.50, 22406.50, 22406.50, 514492, 292809
2025/5/15, 00:00:00, 22419.25, 22419.25, 22419.25, 22419.25, 543831, 288341
2025/5/16, 00:00:00, 22530.25, 22530.25, 22530.25, 22530.25, 420847, 285896
2025/5/19, 00:00:00, 22553.75, 22553.75, 22553.75, 22553.75, 521392, 283723
2025/5/20, 00:00:00, 22475.50, 22475.50, 22475.50, 22475.50, 438452, 279368
2025/5/21, 00:00:00, 22181.50, 22181.50, 22181.50, 22181.50, 607056, 281349
2025/5/22, 00:00:00, 22203.50, 22203.50, 22203.50, 22203.50, 513605, 279741
2025/5/23, 00:00:00, 21995.50, 21995.50, 21995.50, 21995.50, 529692, 271735
2025/5/27, 00:00:00, 22485.75, 22485.75, 22485.75, 22485.75, 532576, 275143
2025/5/28, 00:00:00, 22405.75, 22405.75, 22405.75, 22405.75, 422753, 270386
2025/5/29, 00:00:00, 22435.25, 22435.25, 22435.25, 22435.25, 566169, 269756
2025/5/30, 00:00:00, 22403.25, 22403.25, 22403.25, 22403.25, 552998, 268914
2025/6/2, 00:00:00, 22560.75, 22560.75, 22560.75, 22560.75, 436493, 274595
2025/6/3, 00:00:00, 22732.25, 22732.25, 22732.25, 22732.25, 429405, 277034
