Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 20:55:00, 25200.00, 25200.00, 25200.00, 25200.00, 1, 1, 0, 1
2026/2/18, 08:25:00, 25348.50, 25348.50, 25348.50, 25348.50, 1, 1, 0, 1
2026/2/18, 15:00:00, 25435.50, 25435.50, 25435.50, 25435.50, 1, 1, 0, 1
2026/2/18, 18:00:00, 25555.00, 25555.00, 25555.00, 25555.00, 1, 1, 0, 1
2026/2/19, 15:00:00, 25352.00, 25352.00, 25352.00, 25352.00, 1, 1, 0, 1
2026/2/20, 15:45:00, 25522.50, 25522.50, 25522.50, 25522.50, 1, 1, 0, 1
2026/2/23, 00:15:00, 25365.50, 25365.50, 25365.50, 25365.50, 2, 2, 2, 0
2026/2/23, 00:55:00, 25300.25, 25300.25, 25300.25, 25300.25, 1, 1, 1, 0
2026/2/23, 14:45:00, 25305.75, 25305.75, 25305.75, 25305.75, 1, 1, 1, 0
2026/2/23, 15:00:00, 25312.50, 25312.50, 25312.50, 25312.50, 2, 2, 2, 0
2026/2/23, 20:55:00, 25170.00, 25200.25, 25170.00, 25200.25, 2, 2, 0, 2
2026/2/24, 12:05:00, 25327.50, 25327.50, 25327.50, 25327.50, 1, 1, 0, 1
2026/2/24, 14:35:00, 25155.50, 25155.50, 25155.50, 25155.50, 1, 1, 1, 0
2026/2/24, 15:25:00, 25425.50, 25425.50, 25425.50, 25425.50, 1, 1, 0, 1
2026/2/25, 12:15:00, 25565.00, 25565.00, 25565.00, 25565.00, 1, 1, 0, 1
2026/2/25, 14:40:00, 25710.00, 25710.00, 25710.00, 25710.00, 1, 1, 0, 1
2026/2/25, 14:55:00, 25775.50, 25775.50, 25775.50, 25775.50, 1, 1, 0, 1
2026/2/25, 20:45:00, 25825.00, 25825.00, 25825.00, 25825.00, 1, 1, 0, 1
2026/2/25, 21:00:00, 25818.75, 25818.75, 25818.75, 25818.75, 1, 1, 1, 0
2026/2/25, 21:10:00, 25823.25, 25823.25, 25823.25, 25823.25, 1, 1, 0, 1
2026/2/25, 21:45:00, 25864.50, 25864.50, 25864.50, 25864.50, 1, 1, 1, 0
2026/2/25, 23:00:00, 25851.25, 25851.25, 25851.25, 25851.25, 1, 1, 1, 0
2026/2/26, 01:30:00, 25705.50, 25705.50, 25705.50, 25705.50, 2, 2, 2, 0
2026/2/26, 07:15:00, 25781.00, 25781.00, 25781.00, 25781.00, 1, 1, 1, 0
2026/2/26, 07:20:00, 25781.00, 25781.00, 25781.00, 25781.00, 1, 1, 1, 0
2026/2/26, 14:45:00, 25665.00, 25665.00, 25665.00, 25665.00, 1, 1, 1, 0
2026/2/26, 14:55:00, 25637.50, 25637.50, 25637.50, 25637.50, 3, 3, 3, 0
2026/2/26, 15:20:00, 25360.00, 25360.00, 25360.00, 25360.00, 3, 3, 3, 0
2026/2/26, 18:40:00, 25430.75, 25430.75, 25430.75, 25430.75, 1, 1, 0, 1
2026/2/26, 18:50:00, 25420.75, 25420.75, 25420.75, 25420.75, 1, 1, 1, 0
2026/2/26, 19:50:00, 25499.00, 25499.00, 25499.00, 25499.00, 1, 1, 0, 1
2026/2/26, 20:10:00, 25494.00, 25494.00, 25494.00, 25494.00, 1, 1, 1, 0
2026/2/27, 15:00:00, 25389.50, 25389.50, 25351.25, 25351.25, 2, 2, 1, 1
2026/2/27, 15:05:00, 25381.25, 25381.25, 25381.25, 25381.25, 1, 1, 1, 0
2026/2/27, 15:15:00, 25382.50, 25382.50, 25372.75, 25372.75, 2, 2, 2, 0
2026/2/27, 15:20:00, 25418.75, 25418.75, 25418.75, 25418.75, 1, 1, 0, 1
2026/2/27, 15:30:00, 25409.00, 25409.00, 25409.00, 25409.00, 1, 1, 1, 0
2026/2/27, 15:40:00, 25425.75, 25426.00, 25425.75, 25426.00, 2, 2, 0, 2
2026/2/27, 15:50:00, 25408.00, 25408.00, 25408.00, 25408.00, 1, 1, 1, 0
2026/2/27, 16:00:00, 25431.25, 25431.25, 25431.25, 25431.25, 1, 1, 0, 1
2026/2/27, 16:05:00, 25414.75, 25414.75, 25414.75, 25414.75, 1, 1, 1, 0
2026/2/27, 16:30:00, 25424.75, 25424.75, 25424.75, 25424.75, 1, 1, 0, 1
2026/2/27, 16:40:00, 25408.25, 25408.25, 25408.25, 25408.25, 1, 1, 1, 0
2026/2/27, 17:00:00, 25430.00, 25430.00, 25430.00, 25430.00, 1, 1, 0, 1
2026/2/27, 17:10:00, 25412.25, 25412.25, 25412.25, 25412.25, 1, 1, 1, 0
2026/2/27, 20:40:00, 25356.75, 25356.75, 25356.75, 25356.75, 1, 1, 1, 0
2026/2/27, 20:50:00, 25390.50, 25390.50, 25390.50, 25390.50, 1, 1, 0, 1
2026/2/27, 20:55:00, 25430.00, 25440.50, 25430.00, 25440.50, 2, 2, 0, 2
2026/3/1, 23:10:00, 25247.50, 25247.50, 25247.50, 25247.50, 1, 1, 1, 0
2026/3/1, 23:15:00, 25206.25, 25206.25, 25206.25, 25206.25, 1, 1, 1, 0
2026/3/1, 23:30:00, 25180.00, 25180.00, 25180.00, 25180.00, 1, 1, 0, 1
