Date, Time, Open, High, Low, Last, Volume, OpenInterest
2022/5/23, 00:00:00, 12750.00, 12750.00, 12750.00, 12750.00, 661541, 251914
2022/5/24, 00:00:00, 12482.00, 12482.00, 12482.00, 12482.00, 719103, 255244
2022/5/25, 00:00:00, 12654.00, 12654.00, 12654.00, 12654.00, 672489, 252734
2022/5/26, 00:00:00, 12994.00, 12994.00, 12994.00, 12994.00, 613899, 258734
2022/5/27, 00:00:00, 13544.00, 13544.00, 13544.00, 13544.00, 621680, 265825
2022/5/31, 00:00:00, 13514.00, 13514.00, 13514.00, 13514.00, 834860, 263080
2022/6/1, 00:00:00, 13474.00, 13474.00, 13474.00, 13474.00, 685500, 265778
2022/6/2, 00:00:00, 13816.00, 13816.00, 13816.00, 13816.00, 622331, 267389
2022/6/3, 00:00:00, 13600.00, 13600.00, 13600.00, 13600.00, 655494, 269517
2022/6/6, 00:00:00, 13705.00, 13705.00, 13705.00, 13705.00, 541608, 267182
2022/6/7, 00:00:00, 13813.00, 13813.00, 13813.00, 13813.00, 585631, 268293
2022/6/8, 00:00:00, 13715.00, 13715.00, 13715.00, 13715.00, 595447, 269294
2022/6/9, 00:00:00, 13374.00, 13374.00, 13374.00, 13374.00, 751226, 277684
2022/6/10, 00:00:00, 12939.00, 12939.00, 12939.00, 12939.00, 998619, 288072
2022/6/13, 00:00:00, 12509.00, 12509.00, 12509.00, 12509.00, 1268064, 304352
2022/6/14, 00:00:00, 12535.00, 12535.00, 12535.00, 12535.00, 1068690, 302267
2022/6/15, 00:00:00, 12757.00, 12757.00, 12757.00, 12757.00, 1012092, 296461
2022/6/16, 00:00:00, 12286.00, 12286.00, 12286.00, 12286.00, 979051, 298916
2022/6/17, 00:00:00, 12450.00, 12450.00, 12450.00, 12450.00, 732884, 235100
2022/6/21, 00:00:00, 12068.00, 12068.00, 12068.00, 12068.00, 657866, 236624
2022/6/22, 00:00:00, 12719.00, 12719.00, 12719.00, 12719.00, 639520, 245181
2022/6/23, 00:00:00, 12729.00, 12729.00, 12729.00, 12729.00, 630825, 246302
2022/6/24, 00:00:00, 13132.00, 13132.00, 13132.00, 13132.00, 563995, 239475
2022/6/27, 00:00:00, 13134.00, 13134.00, 13134.00, 13134.00, 566457, 242126
2022/6/28, 00:00:00, 12806.00, 12806.00, 12806.00, 12806.00, 635353, 248045
2022/6/29, 00:00:00, 12771.00, 12771.00, 12771.00, 12771.00, 591062, 250776
2022/6/30, 00:00:00, 12506.00, 12506.00, 12506.00, 12506.00, 739085, 254509
2022/7/1, 00:00:00, 12597.00, 12597.00, 12597.00, 12597.00, 605977, 257658
2022/7/5, 00:00:00, 12653.50, 12653.50, 12653.50, 12653.50, 791659, 259449
2022/7/6, 00:00:00, 12737.00, 12737.00, 12737.00, 12737.00, 650683, 251547
2022/7/7, 00:00:00, 13013.50, 13013.50, 13013.50, 13013.50, 551062, 254190
2022/7/8, 00:00:00, 13038.00, 13038.00, 13038.00, 13038.00, 641298, 251177
2022/7/11, 00:00:00, 12766.00, 12766.00, 12766.00, 12766.00, 578686, 254936
2022/7/12, 00:00:00, 12658.00, 12658.00, 12658.00, 12658.00, 608407, 254260
2022/7/13, 00:00:00, 12648.00, 12648.00, 12648.00, 12648.00, 733038, 254892
2022/7/14, 00:00:00, 12681.00, 12681.00, 12681.00, 12681.00, 655162, 256566
2022/7/15, 00:00:00, 12950.00, 12950.00, 12950.00, 12950.00, 561716, 255246
2022/7/18, 00:00:00, 12910.00, 12910.00, 12910.00, 12910.00, 554404, 252666
2022/7/19, 00:00:00, 13277.00, 13277.00, 13277.00, 13277.00, 586231, 256388
2022/7/20, 00:00:00, 13468.00, 13468.00, 13468.00, 13468.00, 644304, 263270
2022/7/21, 00:00:00, 13643.00, 13643.00, 13643.00, 13643.00, 605822, 264256
2022/7/22, 00:00:00, 13424.00, 13424.00, 13424.00, 13424.00, 635246, 262945
2022/7/25, 00:00:00, 13352.00, 13352.00, 13352.00, 13352.00, 491924, 265766
2022/7/26, 00:00:00, 13014.50, 13014.50, 13014.50, 13014.50, 536743, 267158
2022/7/27, 00:00:00, 13524.00, 13524.00, 13524.00, 13524.00, 636019, 258021
2022/7/28, 00:00:00, 13642.00, 13642.00, 13642.00, 13642.00, 645919, 262511
2022/7/29, 00:00:00, 13894.50, 13894.50, 13894.50, 13894.50, 593359, 260662
2022/8/1, 00:00:00, 13885.00, 13885.00, 13885.00, 13885.00, 623157, 263373
2022/8/2, 00:00:00, 13852.00, 13852.00, 13852.00, 13852.00, 675240, 262325
2022/8/3, 00:00:00, 14262.00, 14262.00, 14262.00, 14262.00, 690897, 262902
2022/8/4, 00:00:00, 14317.00, 14317.00, 14317.00, 14317.00, 543057, 264437
2022/8/5, 00:00:00, 14317.00, 14317.00, 14317.00, 14317.00, 688231, 259041
2022/8/8, 00:00:00, 14272.00, 14272.00, 14272.00, 14272.00, 597601, 258057
2022/8/9, 00:00:00, 14120.00, 14120.00, 14120.00, 14120.00, 555226, 258784
2022/8/10, 00:00:00, 14480.00, 14480.00, 14480.00, 14480.00, 602923, 263785
2022/8/11, 00:00:00, 14409.00, 14409.00, 14409.00, 14409.00, 615934, 263065
2022/8/12, 00:00:00, 14675.00, 14675.00, 14675.00, 14675.00, 501270, 269276
