Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2025/11/19, 20:15:00, 24706.25, 24830.25, 24675.75, 24723.75, 78172, 72237, 39312, 38860
2025/11/19, 21:15:00, 24723.50, 24976.25, 24703.50, 24958.75, 39736, 34010, 19453, 20283
2025/11/19, 22:15:00, 24966.75, 25084.50, 24955.25, 25081.75, 6067, 5231, 2615, 3452
2025/11/19, 23:15:00, 25082.00, 25118.00, 25033.00, 25101.00, 11490, 10303, 5585, 5905
2025/11/20, 00:15:00, 25102.00, 25162.00, 25100.75, 25113.00, 9603, 8718, 4665, 4938
2025/11/20, 01:15:00, 25115.50, 25170.75, 25113.25, 25143.50, 6574, 5723, 3021, 3553
2025/11/20, 02:15:00, 25143.25, 25194.25, 25129.00, 25180.50, 5555, 5166, 2684, 2871
2025/11/20, 03:15:00, 25180.75, 25196.00, 25139.00, 25164.25, 5758, 5236, 3049, 2709
2025/11/20, 04:15:00, 25163.75, 25209.00, 25151.25, 25189.00, 4118, 3629, 1874, 2244
2025/11/20, 05:15:00, 25189.00, 25196.25, 25157.75, 25173.50, 3482, 3218, 1848, 1634
2025/11/20, 06:15:00, 25171.25, 25184.00, 25133.00, 25176.75, 5620, 5115, 2946, 2674
2025/11/20, 07:15:00, 25177.50, 25207.00, 25120.75, 25153.50, 8624, 7865, 4573, 4051
2025/11/20, 08:15:00, 25154.00, 25185.00, 25107.00, 25129.50, 7484, 7085, 3920, 3564
2025/11/20, 09:15:00, 25127.50, 25135.00, 25022.25, 25032.75, 8976, 8180, 4685, 4291
2025/11/20, 10:15:00, 25036.75, 25126.25, 25036.50, 25086.25, 8437, 7657, 4012, 4425
2025/11/20, 11:15:00, 25086.25, 25132.00, 25047.25, 25077.75, 10010, 9142, 5118, 4892
2025/11/20, 12:15:00, 25077.75, 25181.00, 25069.00, 25171.00, 9433, 8226, 4340, 5093
2025/11/20, 13:15:00, 25171.00, 25178.25, 25120.75, 25142.25, 4228, 3863, 2166, 2062
2025/11/20, 13:30:00, 25130.75, 25264.75, 25130.00, 25210.75, 35117, 31428, 17724, 17393
2025/11/20, 14:30:00, 25211.50, 25299.75, 25146.00, 25258.25, 135202, 125604, 68067, 67135
2025/11/20, 15:30:00, 25258.50, 25310.00, 24886.25, 24905.00, 147940, 136785, 75266, 72674
2025/11/20, 16:30:00, 24906.25, 24928.00, 24353.75, 24449.50, 185276, 169276, 93763, 91513
2025/11/20, 17:30:00, 24448.75, 24598.75, 24308.50, 24501.00, 117671, 109200, 59271, 58400
2025/11/20, 18:30:00, 24498.25, 24522.00, 24205.00, 24347.50, 85415, 78438, 43493, 41922
2025/11/20, 19:30:00, 24345.50, 24402.00, 24260.25, 24298.00, 51658, 47764, 26013, 25645
2025/11/20, 20:15:00, 24297.00, 24348.00, 24088.75, 24114.25, 91358, 82643, 46496, 44862
2025/11/20, 21:15:00, 24113.75, 24123.00, 24073.25, 24073.75, 10435, 9274, 5345, 5090
2025/11/20, 22:15:00, 24110.00, 24131.75, 24018.00, 24073.50, 6243, 5393, 3224, 3019
2025/11/20, 23:15:00, 24072.50, 24178.25, 24072.25, 24169.25, 14767, 13720, 7177, 7590
2025/11/21, 00:15:00, 24171.00, 24207.75, 24157.75, 24184.50, 9518, 8788, 4751, 4767
2025/11/21, 01:15:00, 24183.00, 24235.25, 24155.75, 24166.75, 10081, 9163, 5213, 4868
2025/11/21, 02:15:00, 24167.25, 24219.50, 24159.50, 24182.75, 6627, 6092, 3426, 3201
2025/11/21, 03:15:00, 24183.00, 24238.50, 24163.00, 24181.50, 6650, 5952, 3311, 3339
2025/11/21, 04:15:00, 24180.75, 24210.00, 24095.00, 24193.25, 9804, 8888, 5047, 4757
2025/11/21, 05:15:00, 24191.00, 24206.50, 24127.50, 24162.75, 5825, 5465, 3008, 2817
2025/11/21, 06:15:00, 24164.00, 24201.75, 24129.00, 24164.50, 5352, 4969, 2637, 2715
2025/11/21, 07:15:00, 24164.75, 24199.00, 24060.25, 24164.75, 13956, 12717, 7047, 6909
2025/11/21, 08:15:00, 24166.00, 24217.00, 24105.75, 24188.00, 11347, 10536, 5531, 5816
2025/11/21, 09:15:00, 24188.75, 24189.25, 23930.00, 23967.00, 21884, 19784, 11392, 10492
2025/11/21, 10:15:00, 23968.00, 24147.75, 23904.50, 24145.00, 21381, 19581, 10780, 10601
2025/11/21, 11:15:00, 24146.00, 24153.25, 23969.75, 24017.25, 20066, 17773, 10149, 9917
2025/11/21, 12:15:00, 24018.50, 24261.50, 23952.50, 24220.25, 49913, 45265, 24953, 24960
2025/11/21, 13:15:00, 24220.75, 24292.00, 24190.75, 24195.00, 13222, 10724, 6685, 6537
2025/11/21, 13:30:00, 24196.00, 24277.75, 24180.50, 24203.00, 30345, 28035, 15206, 15139
2025/11/21, 14:30:00, 24203.50, 24298.00, 24027.25, 24045.75, 176901, 164512, 88902, 87999
2025/11/21, 15:30:00, 24045.25, 24177.50, 23927.25, 24175.75, 113084, 104097, 56181, 56903
2025/11/21, 16:30:00, 24175.00, 24392.00, 24139.75, 24358.50, 87015, 79663, 43278, 43737
2025/11/21, 17:30:00, 24357.75, 24415.50, 24203.50, 24264.75, 65546, 59939, 32638, 32908
2025/11/21, 18:30:00, 24264.75, 24596.25, 24248.25, 24580.25, 78832, 72250, 39262, 39570
2025/11/21, 19:30:00, 24581.25, 24594.75, 24427.50, 24477.75, 42179, 38387, 20941, 21238
2025/11/21, 20:15:00, 24476.25, 24494.50, 24285.00, 24324.00, 76354, 69639, 38381, 37973
2025/11/21, 21:15:00, 24324.50, 24358.25, 24310.25, 24349.00, 6344, 5897, 3113, 3231
2025/11/23, 22:15:00, 24455.75, 24555.25, 24455.75, 24487.25, 4311, 3771, 2123, 2188
2025/11/23, 23:15:00, 24488.00, 24507.00, 24423.00, 24438.75, 6965, 6603, 3665, 3300
2025/11/24, 00:15:00, 24439.00, 24475.00, 24404.00, 24460.00, 7676, 7069, 3747, 3929
2025/11/24, 01:15:00, 24459.50, 24482.75, 24427.00, 24437.25, 5932, 5499, 2927, 3005
2025/11/24, 02:15:00, 24437.00, 24522.25, 24436.50, 24518.00, 6817, 6208, 3230, 3587
2025/11/24, 03:15:00, 24517.00, 24522.75, 24445.75, 24453.25, 4526, 4243, 2534, 1992
2025/11/24, 04:15:00, 24453.25, 24505.00, 24431.75, 24500.25, 5777, 5398, 2809, 2968
2025/11/24, 05:15:00, 24501.25, 24511.00, 24475.50, 24477.00, 3403, 3232, 1813, 1590
2025/11/24, 06:15:00, 24478.25, 24496.00, 24450.50, 24474.00, 3326, 3175, 1681, 1645
2025/11/24, 07:15:00, 24473.00, 24525.00, 24456.25, 24503.50, 6101, 5767, 2997, 3104
2025/11/24, 08:15:00, 24505.00, 24563.25, 24504.25, 24516.25, 8523, 8002, 4239, 4284
2025/11/24, 09:15:00, 24518.25, 24532.75, 24365.00, 24403.25, 15259, 14063, 7740, 7519
2025/11/24, 10:15:00, 24402.50, 24430.25, 24361.75, 24391.00, 8698, 7931, 4347, 4351
2025/11/24, 11:15:00, 24391.00, 24462.50, 24385.25, 24431.75, 8309, 7871, 4092, 4217
2025/11/24, 12:15:00, 24431.75, 24550.00, 24423.00, 24546.50, 12149, 10950, 5910, 6239
2025/11/24, 13:15:00, 24546.75, 24559.00, 24526.00, 24551.75, 3450, 3191, 1809, 1641
2025/11/24, 13:30:00, 24553.25, 24574.50, 24491.00, 24522.75, 19420, 17637, 9684, 9736
2025/11/24, 14:30:00, 24522.25, 24769.75, 24516.75, 24739.25, 131767, 120802, 64906, 66861
2025/11/24, 15:30:00, 24737.75, 24882.00, 24710.75, 24864.00, 72458, 66019, 35800, 36658
2025/11/24, 16:30:00, 24863.75, 24892.25, 24829.00, 24883.75, 50420, 46394, 25014, 25406
2025/11/24, 17:30:00, 24883.75, 24953.75, 24881.75, 24931.00, 48275, 44117, 23861, 24414
2025/11/24, 18:30:00, 24931.00, 24961.00, 24914.00, 24932.75, 34922, 31842, 17175, 17747
2025/11/24, 19:30:00, 24933.00, 24952.00, 24893.00, 24939.75, 37885, 35086, 18642, 19243
2025/11/24, 20:15:00, 24939.50, 24993.50, 24925.00, 24960.00, 80805, 74574, 40118, 40687
2025/11/24, 21:15:00, 24959.75, 24975.50, 24948.25, 24962.75, 6678, 6064, 3462, 3216
2025/11/24, 22:15:00, 24966.25, 24982.75, 24955.25, 24965.00, 2197, 2022, 1025, 1172
2025/11/24, 23:15:00, 24964.75, 24986.50, 24931.50, 24936.50, 5982, 5589, 3072, 2910
2025/11/25, 00:15:00, 24937.25, 24967.50, 24918.75, 24942.50, 6415, 5915, 3178, 3237
2025/11/25, 01:15:00, 24942.75, 24952.25, 24919.25, 24935.75, 4000, 3800, 1957, 2043
2025/11/25, 02:15:00, 24936.00, 24956.00, 24928.00, 24951.50, 3096, 2877, 1529, 1567
2025/11/25, 03:15:00, 24951.00, 24959.00, 24915.25, 24936.25, 4018, 3810, 2085, 1933
2025/11/25, 04:15:00, 24938.50, 24953.75, 24925.00, 24951.25, 2101, 1981, 1004, 1097
2025/11/25, 05:15:00, 24952.50, 24955.25, 24913.25, 24930.00, 2802, 2615, 1449, 1353
2025/11/25, 06:15:00, 24928.75, 24928.75, 24880.75, 24891.25, 4485, 4159, 2511, 1974
2025/11/25, 07:15:00, 24891.00, 24937.75, 24885.00, 24887.75, 5908, 5452, 2876, 3032
2025/11/25, 08:15:00, 24888.25, 24927.25, 24856.50, 24881.50, 7245, 6920, 3744, 3501
2025/11/25, 09:15:00, 24882.75, 24883.50, 24822.00, 24868.00, 8441, 7844, 4205, 4236
2025/11/25, 10:15:00, 24868.25, 24897.75, 24835.75, 24889.00, 6069, 5589, 2834, 3235
2025/11/25, 11:15:00, 24889.25, 24934.25, 24844.75, 24926.00, 8334, 7606, 3891, 4443
2025/11/25, 12:15:00, 24926.50, 24975.25, 24881.25, 24910.75, 15988, 14750, 7897, 8091
2025/11/25, 13:15:00, 24911.00, 24950.25, 24906.25, 24936.00, 3992, 3662, 1907, 2085
2025/11/25, 13:30:00, 24942.25, 24960.00, 24842.00, 24856.75, 26644, 25115, 13621, 13023
2025/11/25, 14:30:00, 24857.25, 24879.50, 24602.00, 24781.25, 178463, 163883, 89936, 88527
2025/11/25, 15:30:00, 24780.50, 24883.25, 24761.25, 24854.25, 81726, 76023, 40781, 40945
2025/11/25, 16:30:00, 24853.75, 25017.00, 24839.75, 24991.25, 58913, 54437, 29061, 29852
2025/11/25, 17:30:00, 24991.50, 25060.75, 24976.75, 25022.25, 49276, 44582, 24914, 24362
2025/11/25, 18:30:00, 25023.50, 25049.50, 24955.00, 24982.25, 36411, 33654, 18542, 17869
2025/11/25, 19:30:00, 24982.00, 25045.50, 24938.00, 25029.75, 30802, 28787, 15473, 15329
2025/11/25, 20:15:00, 25030.00, 25135.25, 25024.25, 25077.25, 60736, 55703, 30017, 30719
2025/11/25, 21:15:00, 25077.50, 25082.00, 25059.50, 25064.50, 3744, 3480, 2062, 1682
2025/11/25, 22:15:00, 25071.25, 25094.00, 25065.50, 25088.00, 1639, 1513, 724, 915
2025/11/25, 23:15:00, 25087.50, 25093.25, 25061.25, 25081.75, 3739, 3509, 1898, 1841
2025/11/26, 00:15:00, 25082.25, 25144.00, 25081.50, 25142.50, 5032, 4694, 2169, 2863
2025/11/26, 01:15:00, 25143.50, 25171.00, 25136.00, 25164.25, 6060, 5576, 2867, 3193
2025/11/26, 02:15:00, 25165.00, 25196.50, 25156.25, 25173.00, 5295, 4907, 2404, 2891
2025/11/26, 03:15:00, 25173.75, 25188.50, 25168.25, 25181.75, 2718, 2561, 1304, 1414
2025/11/26, 04:15:00, 25182.50, 25190.75, 25160.50, 25184.25, 2534, 2406, 1250, 1284
2025/11/26, 05:15:00, 25183.75, 25202.50, 25183.25, 25196.75, 2913, 2790, 1418, 1495
2025/11/26, 06:15:00, 25196.00, 25221.50, 25186.75, 25214.50, 3157, 2975, 1470, 1687
2025/11/26, 07:15:00, 25214.25, 25235.75, 25181.75, 25207.25, 5914, 5511, 2995, 2919
