Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2025/11/19, 20:15:00, 24706.25, 24797.25, 24706.25, 24787.00, 7914, 7241, 3594, 4320
2025/11/19, 20:20:00, 24786.75, 24806.25, 24736.50, 24761.75, 9219, 8766, 4813, 4406
2025/11/19, 20:25:00, 24762.00, 24783.25, 24744.25, 24771.75, 4776, 4511, 2440, 2336
2025/11/19, 20:30:00, 24772.00, 24784.00, 24749.75, 24771.75, 4728, 4508, 2350, 2378
2025/11/19, 20:35:00, 24772.00, 24830.25, 24767.50, 24790.00, 7091, 6665, 3438, 3653
2025/11/19, 20:40:00, 24790.25, 24794.00, 24746.50, 24769.00, 5764, 5306, 2952, 2812
2025/11/19, 20:45:00, 24768.75, 24771.25, 24702.50, 24705.25, 6202, 5737, 3355, 2847
2025/11/19, 20:50:00, 24705.50, 24749.50, 24678.50, 24733.25, 7939, 7365, 3878, 4061
2025/11/19, 20:55:00, 24734.00, 24761.00, 24708.00, 24725.00, 13487, 12315, 6903, 6584
2025/11/19, 21:00:00, 24724.75, 24739.75, 24675.75, 24707.00, 6459, 5728, 3251, 3208
2025/11/19, 21:05:00, 24707.75, 24739.25, 24699.50, 24725.50, 2027, 1800, 1079, 948
2025/11/19, 21:10:00, 24724.50, 24749.00, 24695.50, 24723.75, 2566, 2295, 1259, 1307
2025/11/19, 21:15:00, 24723.50, 24749.00, 24703.50, 24729.25, 2028, 1740, 1046, 982
2025/11/19, 21:20:00, 24731.50, 24910.00, 24731.50, 24834.25, 14618, 12162, 6785, 7833
2025/11/19, 21:25:00, 24834.25, 24857.00, 24800.00, 24851.50, 4515, 4017, 2330, 2185
2025/11/19, 21:30:00, 24850.50, 24966.25, 24849.50, 24946.00, 6640, 5791, 3068, 3572
2025/11/19, 21:35:00, 24946.00, 24947.50, 24897.00, 24905.75, 3314, 2996, 1755, 1559
2025/11/19, 21:40:00, 24905.25, 24971.00, 24901.75, 24969.00, 2710, 2293, 1308, 1402
2025/11/19, 21:45:00, 24968.75, 24976.25, 24947.75, 24962.50, 2249, 1883, 1268, 981
2025/11/19, 21:50:00, 24962.50, 24970.75, 24947.50, 24949.75, 2033, 1822, 1097, 936
2025/11/19, 21:55:00, 24949.50, 24965.25, 24946.25, 24958.75, 1629, 1306, 796, 833
2025/11/19, 23:00:00, 24966.75, 25029.00, 24955.25, 25022.00, 2918, 2403, 1252, 1666
2025/11/19, 23:05:00, 25022.25, 25060.75, 25011.50, 25059.00, 1337, 1200, 538, 799
2025/11/19, 23:10:00, 25059.75, 25084.50, 25039.50, 25081.75, 1812, 1628, 825, 987
2025/11/19, 23:15:00, 25082.00, 25095.00, 25060.00, 25060.25, 1461, 1289, 717, 744
2025/11/19, 23:20:00, 25059.50, 25067.75, 25042.00, 25043.25, 1053, 959, 572, 481
2025/11/19, 23:25:00, 25044.75, 25056.00, 25033.00, 25046.00, 1129, 1033, 633, 496
2025/11/19, 23:30:00, 25045.50, 25069.50, 25036.25, 25062.50, 980, 876, 448, 532
2025/11/19, 23:35:00, 25063.00, 25089.00, 25057.00, 25084.75, 941, 815, 467, 474
2025/11/19, 23:40:00, 25086.00, 25093.00, 25068.25, 25082.50, 796, 751, 412, 384
2025/11/19, 23:45:00, 25082.75, 25098.75, 25080.50, 25094.25, 827, 717, 325, 502
2025/11/19, 23:50:00, 25093.75, 25103.25, 25085.25, 25092.25, 1094, 920, 414, 680
2025/11/19, 23:55:00, 25091.00, 25110.75, 25088.75, 25108.75, 865, 806, 389, 476
2025/11/20, 00:00:00, 25107.75, 25118.00, 25094.75, 25101.00, 945, 852, 463, 482
2025/11/20, 00:05:00, 25100.25, 25106.50, 25094.00, 25096.50, 502, 481, 283, 219
2025/11/20, 00:10:00, 25097.50, 25105.50, 25087.25, 25101.00, 897, 804, 462, 435
2025/11/20, 00:15:00, 25102.00, 25129.75, 25100.75, 25128.00, 1059, 972, 430, 629
2025/11/20, 00:20:00, 25127.25, 25144.50, 25123.00, 25133.25, 1065, 932, 478, 587
2025/11/20, 00:25:00, 25132.25, 25147.25, 25131.50, 25144.00, 752, 674, 356, 396
2025/11/20, 00:30:00, 25144.25, 25150.50, 25133.75, 25141.75, 1039, 891, 553, 486
2025/11/20, 00:35:00, 25141.50, 25148.00, 25136.25, 25142.00, 520, 492, 281, 239
2025/11/20, 00:40:00, 25143.50, 25160.25, 25138.00, 25159.50, 853, 776, 319, 534
2025/11/20, 00:45:00, 25159.50, 25162.00, 25137.50, 25144.25, 933, 877, 464, 469
2025/11/20, 00:50:00, 25144.50, 25144.75, 25132.00, 25137.00, 563, 504, 289, 274
2025/11/20, 00:55:00, 25137.50, 25139.50, 25118.50, 25128.50, 670, 626, 375, 295
2025/11/20, 01:00:00, 25126.50, 25131.75, 25102.75, 25126.75, 1082, 1001, 511, 571
2025/11/20, 01:05:00, 25127.25, 25138.25, 25120.00, 25136.75, 482, 436, 218, 264
2025/11/20, 01:10:00, 25137.25, 25137.50, 25111.50, 25113.00, 585, 537, 391, 194
2025/11/20, 01:15:00, 25115.50, 25145.75, 25113.25, 25140.25, 810, 753, 315, 495
2025/11/20, 01:20:00, 25140.25, 25141.25, 25127.00, 25141.25, 295, 290, 134, 161
2025/11/20, 01:25:00, 25140.25, 25152.75, 25136.75, 25150.00, 413, 364, 189, 224
2025/11/20, 01:30:00, 25151.75, 25156.00, 25144.75, 25150.50, 464, 426, 204, 260
2025/11/20, 01:35:00, 25151.75, 25155.50, 25144.75, 25148.50, 307, 278, 175, 132
2025/11/20, 01:40:00, 25149.25, 25150.00, 25130.25, 25137.75, 476, 455, 299, 177
2025/11/20, 01:45:00, 25136.75, 25148.00, 25135.00, 25145.50, 333, 302, 158, 175
2025/11/20, 01:50:00, 25146.25, 25166.75, 25139.50, 25154.25, 828, 738, 335, 493
2025/11/20, 01:55:00, 25154.25, 25161.00, 25133.25, 25156.00, 594, 553, 311, 283
2025/11/20, 02:00:00, 25156.50, 25170.75, 25151.50, 25159.50, 1193, 775, 392, 801
2025/11/20, 02:05:00, 25158.75, 25169.00, 25146.25, 25148.00, 508, 463, 293, 215
2025/11/20, 02:10:00, 25147.75, 25149.00, 25139.50, 25143.50, 353, 326, 216, 137
2025/11/20, 02:15:00, 25143.25, 25150.00, 25139.50, 25142.50, 376, 361, 213, 163
2025/11/20, 02:20:00, 25142.25, 25148.50, 25132.75, 25136.75, 585, 545, 322, 263
2025/11/20, 02:25:00, 25136.00, 25142.00, 25129.00, 25133.25, 404, 390, 242, 162
2025/11/20, 02:30:00, 25134.25, 25154.25, 25130.50, 25153.75, 553, 515, 220, 333
2025/11/20, 02:35:00, 25153.25, 25161.25, 25150.00, 25153.50, 307, 299, 143, 164
2025/11/20, 02:40:00, 25152.00, 25157.00, 25142.50, 25149.50, 202, 190, 125, 77
2025/11/20, 02:45:00, 25149.25, 25166.75, 25147.75, 25158.25, 522, 498, 235, 287
2025/11/20, 02:50:00, 25158.75, 25166.25, 25156.25, 25165.25, 271, 243, 123, 148
2025/11/20, 02:55:00, 25165.00, 25170.50, 25160.00, 25168.00, 351, 327, 139, 212
2025/11/20, 03:00:00, 25167.75, 25192.75, 25163.50, 25192.00, 1131, 1038, 454, 677
2025/11/20, 03:05:00, 25192.50, 25194.25, 25183.00, 25188.00, 430, 408, 200, 230
2025/11/20, 03:10:00, 25188.25, 25188.25, 25177.25, 25180.50, 423, 352, 268, 155
2025/11/20, 03:15:00, 25180.75, 25186.50, 25172.75, 25185.25, 289, 276, 145, 144
2025/11/20, 03:20:00, 25184.50, 25196.00, 25182.75, 25192.75, 343, 324, 165, 178
2025/11/20, 03:25:00, 25193.25, 25193.50, 25181.75, 25187.50, 309, 284, 180, 129
2025/11/20, 03:30:00, 25186.75, 25189.50, 25175.75, 25183.25, 387, 352, 205, 182
